event_date,channel,region,device,sessions,leads,signups,paid_signups
2024-07-01,email,eu,tablet,21,3,1,0
2024-07-01,email,apac,tablet,8,1,0,0
2024-07-01,email,latam,tablet,7,1,0,0
2024-07-01,referral,us,desktop,367,35,17,4
2024-07-01,referral,eu,desktop,153,14,8,2
2024-07-01,referral,apac,desktop,82,7,4,1
2024-07-01,referral,latam,desktop,51,5,3,0
2024-07-01,referral,us,mobile,316,27,12,3
2024-07-01,referral,eu,mobile,144,14,5,1
2024-07-01,referral,apac,mobile,78,8,4,1
2024-07-01,referral,latam,mobile,47,5,2,0
2024-07-01,referral,us,tablet,58,6,3,1
2024-07-01,referral,eu,tablet,26,2,1,0
2024-07-01,referral,apac,tablet,17,2,1,0
2024-07-01,referral,latam,tablet,11,1,0,0
2024-07-02,organic,us,desktop,1183,100,50,9
2024-07-02,organic,eu,desktop,481,39,16,3
2024-07-02,organic,apac,desktop,185,16,7,1
2024-07-02,organic,latam,desktop,138,13,6,1
2024-07-02,organic,us,mobile,1050,94,36,6
2024-07-02,organic,eu,mobile,429,39,14,2
2024-07-02,organic,apac,mobile,217,19,6,1
2024-07-02,organic,latam,mobile,166,14,5,1
2024-07-02,organic,us,tablet,216,19,8,1
2024-07-02,organic,eu,tablet,90,7,3,1
2024-07-02,organic,apac,tablet,48,4,2,0
2024-07-02,organic,latam,tablet,31,2,1,0
2024-07-02,paid_search,us,desktop,768,79,45,13
2024-07-02,paid_search,eu,desktop,295,32,19,5
2024-07-02,paid_search,apac,desktop,158,19,13,4
2024-07-02,paid_search,latam,desktop,107,11,7,1
2024-07-02,paid_search,us,mobile,663,74,36,10
2024-07-02,paid_search,eu,mobile,327,36,19,6
2024-07-02,paid_search,apac,mobile,153,17,8,2
2024-07-02,paid_search,latam,mobile,101,11,5,1
2024-07-02,paid_search,us,tablet,165,18,11,3
2024-07-02,paid_search,eu,tablet,64,7,4,1
2024-07-02,paid_search,apac,tablet,35,4,2,1
2024-07-02,paid_search,latam,tablet,22,2,1,0
2024-07-02,paid_social,us,desktop,635,43,17,3
2024-07-02,paid_social,eu,desktop,255,20,9,1
2024-07-02,paid_social,apac,desktop,144,10,5,1
2024-07-02,paid_social,latam,desktop,98,7,3,0
2024-07-02,paid_social,us,mobile,666,45,16,2
2024-07-02,paid_social,eu,mobile,254,18,6,1
2024-07-02,paid_social,apac,mobile,140,10,3,0
2024-07-02,paid_social,latam,mobile,89,6,2,0
2024-07-02,paid_social,us,tablet,133,9,4,1
2024-07-02,paid_social,eu,tablet,59,4,2,0
2024-07-02,paid_social,apac,tablet,27,2,1,0
2024-07-02,paid_social,latam,tablet,21,1,0,0
2024-07-02,email,us,desktop,228,36,11,1
2024-07-02,email,eu,desktop,88,13,5,0
2024-07-02,email,apac,desktop,48,6,2,0
2024-07-02,email,latam,desktop,26,4,1,0
2024-07-02,email,us,mobile,186,27,7,1
2024-07-02,email,eu,mobile,102,14,4,0
2024-07-02,email,apac,mobile,50,7,2,0
2024-07-02,email,latam,mobile,33,5,1,0
2024-07-02,email,us,tablet,45,6,2,0
2024-07-02,email,eu,tablet,19,3,1,0
2024-07-02,email,apac,tablet,10,1,0,0
2024-07-02,email,latam,tablet,7,1,0,0
2024-07-02,referral,us,desktop,356,33,17,3
2024-07-02,referral,eu,desktop,159,14,8,2
2024-07-02,referral,apac,desktop,66,6,3,1
2024-07-02,referral,latam,desktop,51,5,3,0
2024-07-02,referral,us,mobile,282,25,11,2
2024-07-02,referral,eu,mobile,130,11,4,1
2024-07-02,referral,apac,mobile,69,7,3,1
2024-07-02,referral,latam,mobile,47,5,2,0
2024-07-02,referral,us,tablet,77,7,3,1
2024-07-02,referral,eu,tablet,30,3,1,0
2024-07-02,referral,apac,tablet,16,2,1,0
2024-07-02,referral,latam,tablet,14,1,1,0
2024-07-03,organic,us,desktop,1171,103,50,9
2024-07-03,organic,eu,desktop,466,39,21,4
2024-07-03,organic,apac,desktop,222,19,8,2
2024-07-03,organic,latam,desktop,146,12,6,1
2024-07-03,organic,us,mobile,934,70,29,5
2024-07-03,organic,eu,mobile,358,33,12,2
2024-07-03,organic,apac,mobile,169,14,5,1
2024-07-03,organic,latam,mobile,147,12,5,1
2024-07-03,organic,us,tablet,224,18,7,1
2024-07-03,organic,eu,tablet,84,7,3,1
2024-07-03,organic,apac,tablet,47,4,2,0
2024-07-03,organic,latam,tablet,29,2,1,0
2024-07-03,paid_search,us,desktop,697,79,48,15
2024-07-03,paid_search,eu,desktop,309,34,19,5
2024-07-03,paid_search,apac,desktop,150,16,10,3
2024-07-03,paid_search,latam,desktop,107,11,7,1
2024-07-03,paid_search,us,mobile,702,81,40,12
2024-07-03,paid_search,eu,mobile,279,32,15,4
2024-07-03,paid_search,apac,mobile,140,14,6,2
2024-07-03,paid_search,latam,mobile,86,9,4,1
2024-07-03,paid_search,us,tablet,155,18,10,3
2024-07-03,paid_search,eu,tablet,65,7,4,1
2024-07-03,paid_search,apac,tablet,29,3,2,1
2024-07-03,paid_search,latam,tablet,24,3,2,0
2024-07-03,paid_social,us,desktop,675,49,21,3
2024-07-03,paid_social,eu,desktop,242,21,9,1
2024-07-03,paid_social,apac,desktop,133,10,4,1
2024-07-03,paid_social,latam,desktop,95,6,2,0
2024-07-03,paid_social,us,mobile,622,46,14,3
2024-07-03,paid_social,eu,mobile,262,17,6,1
2024-07-03,paid_social,apac,mobile,132,9,3,0
2024-07-03,paid_social,latam,mobile,96,7,2,0
2024-07-03,paid_social,us,tablet,160,11,4,1
2024-07-03,paid_social,eu,tablet,72,5,2,0
2024-07-03,paid_social,apac,tablet,30,2,1,0
2024-07-03,paid_social,latam,tablet,20,1,0,0
2024-07-03,email,us,desktop,243,31,10,1
2024-07-03,email,eu,desktop,93,13,4,0
2024-07-03,email,apac,desktop,47,7,2,0
2024-07-03,email,latam,desktop,31,5,2,0
2024-07-03,email,us,mobile,192,29,8,1
2024-07-03,email,eu,mobile,114,16,4,0
2024-07-03,email,apac,mobile,46,6,2,0
2024-07-03,email,latam,mobile,25,4,1,0
2024-07-03,email,us,tablet,42,6,2,0
2024-07-03,email,eu,tablet,22,3,1,0
2024-07-03,email,apac,tablet,10,2,1,0
2024-07-03,email,latam,tablet,7,1,0,0
2024-07-03,referral,us,desktop,332,32,17,4
2024-07-03,referral,eu,desktop,133,13,8,2
2024-07-03,referral,apac,desktop,91,8,4,1
2024-07-03,referral,latam,desktop,58,5,3,0
2024-07-03,referral,us,mobile,322,31,11,3
2024-07-03,referral,eu,mobile,148,12,5,1
2024-07-03,referral,apac,mobile,66,6,3,1
2024-07-03,referral,latam,mobile,50,5,2,0
2024-07-03,referral,us,tablet,73,7,3,1
2024-07-03,referral,eu,tablet,37,4,2,0
2024-07-03,referral,apac,tablet,18,2,1,0
2024-07-03,referral,latam,tablet,11,1,0,0
2024-07-04,organic,us,desktop,901,74,32,6
2024-07-04,organic,eu,desktop,411,37,17,3
2024-07-04,organic,apac,desktop,228,19,8,2
2024-07-04,organic,latam,desktop,148,13,6,1
2024-07-04,organic,us,mobile,852,73,25,5
2024-07-04,organic,eu,mobile,386,33,12,2
2024-07-04,organic,apac,mobile,206,17,6,1
2024-07-04,organic,latam,mobile,133,11,4,1
2024-07-04,organic,us,tablet,210,20,8,1
2024-07-04,organic,eu,tablet,99,8,3,1
2024-07-04,organic,apac,tablet,51,4,2,0
2024-07-04,organic,latam,tablet,36,3,1,0
2024-07-04,paid_search,us,desktop,720,79,47,14
2024-07-04,paid_search,eu,desktop,372,40,25,7
2024-07-04,paid_search,apac,desktop,170,18,10,3
2024-07-04,paid_search,latam,desktop,88,9,5,1
2024-07-04,paid_search,us,mobile,634,75,34,10
2024-07-04,paid_search,eu,mobile,295,33,17,4
2024-07-04,paid_search,apac,mobile,194,22,9,3
2024-07-04,paid_search,latam,mobile,116,13,6,1
2024-07-04,paid_search,us,tablet,142,15,8,3
2024-07-04,paid_search,eu,tablet,60,6,3,1
2024-07-04,paid_search,apac,tablet,34,4,2,1
2024-07-04,paid_search,latam,tablet,22,2,1,0
2024-07-04,paid_social,us,desktop,623,47,19,3
2024-07-04,paid_social,eu,desktop,278,18,6,1
2024-07-04,paid_social,apac,desktop,131,9,4,1
2024-07-04,paid_social,latam,desktop,97,6,3,0
2024-07-04,paid_social,us,mobile,601,44,15,2
2024-07-04,paid_social,eu,mobile,339,24,8,1
2024-07-04,paid_social,apac,mobile,151,11,4,1
2024-07-04,paid_social,latam,mobile,83,6,2,0
2024-07-04,paid_social,us,tablet,139,10,4,1
2024-07-04,paid_social,eu,tablet,56,4,1,0
2024-07-04,paid_social,apac,tablet,33,3,1,0
2024-07-04,paid_social,latam,tablet,22,2,1,0
2024-07-04,email,us,desktop,229,32,11,1
2024-07-04,email,eu,desktop,76,9,3,0
2024-07-04,email,apac,desktop,53,7,2,0
2024-07-04,email,latam,desktop,28,4,1,0
2024-07-04,email,us,mobile,228,35,8,1
2024-07-04,email,eu,mobile,75,10,3,0
2024-07-04,email,apac,mobile,48,6,2,0
2024-07-04,email,latam,mobile,29,4,1,0
2024-07-04,email,us,tablet,42,7,2,0
2024-07-04,email,eu,tablet,21,3,1,0
2024-07-04,email,apac,tablet,8,1,0,0
2024-07-04,email,latam,tablet,7,1,0,0
2024-07-04,referral,us,desktop,345,34,19,4
2024-07-04,referral,eu,desktop,162,14,7,1
2024-07-04,referral,apac,desktop,88,9,5,1
2024-07-04,referral,latam,desktop,44,4,2,0
2024-07-04,referral,us,mobile,406,41,14,3
2024-07-04,referral,eu,mobile,153,14,6,1
2024-07-04,referral,apac,mobile,65,6,2,0
2024-07-04,referral,latam,mobile,43,4,2,0
2024-07-04,referral,us,tablet,78,8,4,1
2024-07-04,referral,eu,tablet,28,3,1,0
2024-07-04,referral,apac,tablet,17,2,1,0
2024-07-04,referral,latam,tablet,12,1,0,0
2024-07-05,organic,us,desktop,897,76,33,6
2024-07-05,organic,eu,desktop,468,42,17,3
2024-07-05,organic,apac,desktop,218,19,10,2
2024-07-05,organic,latam,desktop,159,15,7,1
2024-07-05,organic,us,mobile,996,92,30,6
2024-07-05,organic,eu,mobile,491,43,15,3
2024-07-05,organic,apac,mobile,248,22,8,2
2024-07-05,organic,latam,mobile,149,11,4,0
2024-07-05,organic,us,tablet,210,19,7,1
2024-07-05,organic,eu,tablet,92,9,4,1
2024-07-05,organic,apac,tablet,48,4,2,0
2024-07-05,organic,latam,tablet,29,2,1,0
2024-07-05,paid_search,us,desktop,658,73,39,11
2024-07-05,paid_search,eu,desktop,329,37,24,7
2024-07-05,paid_search,apac,desktop,125,14,8,3
2024-07-05,paid_search,latam,desktop,116,13,8,2
2024-07-05,paid_search,us,mobile,781,71,34,9
2024-07-05,paid_search,eu,mobile,279,29,16,4
2024-07-05,paid_search,apac,mobile,148,14,7,2
2024-07-05,paid_search,latam,mobile,87,10,5,1
2024-07-05,paid_search,us,tablet,161,16,10,3
2024-07-05,paid_search,eu,tablet,61,7,4,1
2024-07-05,paid_search,apac,tablet,29,3,2,1
2024-07-05,paid_search,latam,tablet,22,2,1,0
2024-07-05,paid_social,us,desktop,577,41,15,2
2024-07-05,paid_social,eu,desktop,271,20,8,1
2024-07-05,paid_social,apac,desktop,152,11,4,1
2024-07-05,paid_social,latam,desktop,101,7,3,0
2024-07-05,paid_social,us,mobile,505,35,12,2
2024-07-05,paid_social,eu,mobile,273,19,6,1
2024-07-05,paid_social,apac,mobile,139,10,3,0
2024-07-05,paid_social,latam,mobile,75,6,2,0
2024-07-05,paid_social,us,tablet,156,11,4,1
2024-07-05,paid_social,eu,tablet,63,4,1,0
2024-07-05,paid_social,apac,tablet,32,2,1,0
2024-07-05,paid_social,latam,tablet,19,1,0,0
2024-07-05,email,us,desktop,243,36,13,1
2024-07-05,email,eu,desktop,98,15,6,1
2024-07-05,email,apac,desktop,51,7,3,0
2024-07-05,email,latam,desktop,28,4,1,0
2024-07-05,email,us,mobile,200,28,8,1
2024-07-05,email,eu,mobile,92,11,3,0
2024-07-05,email,apac,mobile,51,8,2,0
2024-07-05,email,latam,mobile,30,4,1,0
2024-07-05,email,us,tablet,42,6,2,0
2024-07-05,email,eu,tablet,18,3,1,0
2024-07-05,email,apac,tablet,11,2,1,0
2024-07-05,email,latam,tablet,8,1,0,0
2024-07-05,referral,us,desktop,432,42,23,5
2024-07-05,referral,eu,desktop,164,16,8,1
2024-07-05,referral,apac,desktop,67,7,3,1
2024-07-05,referral,latam,desktop,50,5,2,0
2024-07-05,referral,us,mobile,356,36,16,4
2024-07-05,referral,eu,mobile,167,15,6,1
2024-07-05,referral,apac,mobile,67,6,2,1
2024-07-05,referral,latam,mobile,46,5,2,0
2024-07-05,referral,us,tablet,76,8,4,1
2024-07-05,referral,eu,tablet,34,3,1,0
2024-07-05,referral,apac,tablet,17,2,1,0
2024-07-05,referral,latam,tablet,10,1,1,0
2024-07-06,organic,us,desktop,759,68,31,6
2024-07-06,organic,eu,desktop,355,30,14,2
2024-07-06,organic,apac,desktop,197,17,9,2
2024-07-06,organic,latam,desktop,115,9,4,0
2024-07-06,organic,us,mobile,780,71,22,4
2024-07-06,organic,eu,mobile,298,24,9,2
2024-07-06,organic,apac,mobile,175,14,4,1
2024-07-06,organic,latam,mobile,123,11,4,1
2024-07-06,organic,us,tablet,185,18,8,1
2024-07-06,organic,eu,tablet,82,7,3,1
2024-07-06,organic,apac,tablet,40,3,1,0
2024-07-06,organic,latam,tablet,25,2,1,0
2024-07-06,paid_search,us,desktop,655,81,41,12
2024-07-06,paid_search,eu,desktop,277,33,22,6
2024-07-06,paid_search,apac,desktop,132,15,9,3
2024-07-06,paid_search,latam,desktop,85,9,6,1
2024-07-06,paid_search,us,mobile,609,64,30,9
2024-07-06,paid_search,eu,mobile,249,26,11,3
2024-07-06,paid_search,apac,mobile,131,15,7,2
2024-07-06,paid_search,latam,mobile,70,7,3,1
2024-07-06,paid_search,us,tablet,131,14,8,2
2024-07-06,paid_search,eu,tablet,61,7,4,1
2024-07-06,paid_search,apac,tablet,29,3,2,1
2024-07-06,paid_search,latam,tablet,20,2,1,0
2024-07-06,paid_social,us,desktop,560,37,13,2
2024-07-06,paid_social,eu,desktop,276,20,7,1
2024-07-06,paid_social,apac,desktop,121,9,4,1
2024-07-06,paid_social,latam,desktop,95,7,3,0
2024-07-06,paid_social,us,mobile,518,36,10,2
2024-07-06,paid_social,eu,mobile,230,17,6,1
2024-07-06,paid_social,apac,mobile,120,8,3,0
2024-07-06,paid_social,latam,mobile,66,5,2,0
2024-07-06,paid_social,us,tablet,126,9,4,1
2024-07-06,paid_social,eu,tablet,51,4,1,0
2024-07-06,paid_social,apac,tablet,26,2,1,0
2024-07-06,paid_social,latam,tablet,16,1,0,0
2024-07-06,email,us,desktop,168,23,8,1
2024-07-06,email,eu,desktop,87,14,5,0
2024-07-06,email,apac,desktop,45,5,2,0
2024-07-06,email,latam,desktop,30,4,1,0
2024-07-06,email,us,mobile,160,23,6,0
2024-07-06,email,eu,mobile,70,9,3,0
2024-07-06,email,apac,mobile,33,4,1,0
2024-07-06,email,latam,mobile,26,4,1,0
2024-07-06,email,us,tablet,36,5,2,0
2024-07-06,email,eu,tablet,16,2,1,0
2024-07-06,email,apac,tablet,9,1,0,0
2024-07-06,email,latam,tablet,5,1,0,0
2024-07-06,referral,us,desktop,299,28,15,3
2024-07-06,referral,eu,desktop,153,16,9,2
2024-07-06,referral,apac,desktop,55,5,3,1
2024-07-06,referral,latam,desktop,42,4,2,0
2024-07-06,referral,us,mobile,332,30,12,3
2024-07-06,referral,eu,mobile,128,14,5,1
2024-07-06,referral,apac,mobile,66,6,2,1
2024-07-06,referral,latam,mobile,42,4,2,0
2024-07-06,referral,us,tablet,75,7,3,1
2024-07-06,referral,eu,tablet,32,3,2,0
2024-07-06,referral,apac,tablet,13,1,0,0
2024-07-06,referral,latam,tablet,10,1,1,0
2024-07-07,organic,us,desktop,899,67,35,6
2024-07-07,organic,eu,desktop,441,38,19,3
2024-07-07,organic,apac,desktop,196,17,7,1
2024-07-07,organic,latam,desktop,108,9,4,0
2024-07-07,organic,us,mobile,784,68,23,5
2024-07-07,organic,eu,mobile,370,33,11,2
2024-07-07,organic,apac,mobile,182,16,6,1
2024-07-07,organic,latam,mobile,130,12,4,0
2024-07-07,organic,us,tablet,163,12,5,1
2024-07-07,organic,eu,tablet,78,6,3,0
2024-07-07,organic,apac,tablet,36,3,1,0
2024-07-07,organic,latam,tablet,25,2,1,0
2024-07-07,paid_search,us,desktop,459,49,28,9
2024-07-07,paid_search,eu,desktop,259,28,17,4
2024-07-07,paid_search,apac,desktop,127,15,9,3
2024-07-07,paid_search,latam,desktop,110,12,8,2
2024-07-07,paid_search,us,mobile,593,69,30,9
2024-07-07,paid_search,eu,mobile,260,28,13,4
2024-07-07,paid_search,apac,mobile,132,14,6,2
2024-07-07,paid_search,latam,mobile,88,10,4,1
2024-07-07,paid_search,us,tablet,150,17,9,3
2024-07-07,paid_search,eu,tablet,55,6,3,1
2024-07-07,paid_search,apac,tablet,30,3,2,1
2024-07-07,paid_search,latam,tablet,22,2,1,0
2024-07-07,paid_social,us,desktop,468,31,13,2
2024-07-07,paid_social,eu,desktop,236,15,5,1
2024-07-07,paid_social,apac,desktop,141,10,4,1
2024-07-07,paid_social,latam,desktop,64,5,2,0
2024-07-07,paid_social,us,mobile,534,36,10,1
2024-07-07,paid_social,eu,mobile,189,13,4,1
2024-07-07,paid_social,apac,mobile,119,8,3,0
2024-07-07,paid_social,latam,mobile,76,6,2,0
2024-07-07,paid_social,us,tablet,134,9,3,0
2024-07-07,paid_social,eu,tablet,50,4,2,0
2024-07-07,paid_social,apac,tablet,26,2,1,0
2024-07-07,paid_social,latam,tablet,19,1,0,0
2024-07-07,email,us,desktop,140,21,7,1
2024-07-07,email,eu,desktop,81,12,4,0
2024-07-07,email,apac,desktop,39,5,2,0
2024-07-07,email,latam,desktop,28,4,1,0
2024-07-07,email,us,mobile,193,27,7,1
2024-07-07,email,eu,mobile,81,12,3,0
2024-07-07,email,apac,mobile,35,5,1,0
2024-07-07,email,latam,mobile,27,3,1,0
2024-07-07,email,us,tablet,34,5,2,0
2024-07-07,email,eu,tablet,20,3,1,0
2024-07-07,email,apac,tablet,9,1,0,0
2024-07-07,email,latam,tablet,5,1,0,0
2024-07-07,referral,us,desktop,305,30,17,4
2024-07-07,referral,eu,desktop,122,11,6,1
2024-07-07,referral,apac,desktop,57,6,3,1
2024-07-07,referral,latam,desktop,52,5,3,0
2024-07-07,referral,us,mobile,265,24,9,2
2024-07-07,referral,eu,mobile,137,14,6,1
2024-07-07,referral,apac,mobile,62,6,3,1
2024-07-07,referral,latam,mobile,43,4,2,0
2024-07-07,referral,us,tablet,72,8,4,1
2024-07-07,referral,eu,tablet,28,3,2,0
2024-07-07,referral,apac,tablet,14,1,0,0
2024-07-07,referral,latam,tablet,10,1,1,0
2024-07-08,organic,us,desktop,821,72,32,6
2024-07-08,organic,eu,desktop,409,33,16,2
2024-07-08,organic,apac,desktop,194,17,8,2
2024-07-08,organic,latam,desktop,156,13,5,1
2024-07-08,organic,us,mobile,980,80,28,5
2024-07-08,organic,eu,mobile,433,39,15,3
2024-07-08,organic,apac,mobile,192,17,6,1
2024-07-08,organic,latam,mobile,151,13,5,1
2024-07-08,organic,us,tablet,221,19,8,2
2024-07-08,organic,eu,tablet,101,9,3,1
2024-07-08,organic,apac,tablet,42,3,1,0
2024-07-08,organic,latam,tablet,35,3,1,0
2024-07-08,paid_search,us,desktop,736,83,44,13
2024-07-08,paid_search,eu,desktop,337,36,21,6
2024-07-08,paid_search,apac,desktop,122,14,8,3
2024-07-08,paid_search,latam,desktop,108,12,7,1
2024-07-08,paid_search,us,mobile,768,90,38,11
2024-07-08,paid_search,eu,mobile,303,32,15,4
2024-07-08,paid_search,apac,mobile,141,15,6,2
2024-07-08,paid_search,latam,mobile,101,11,5,1
2024-07-08,paid_search,us,tablet,144,17,9,3
2024-07-08,paid_search,eu,tablet,66,6,4,1
2024-07-08,paid_search,apac,tablet,37,4,2,1
2024-07-08,paid_search,latam,tablet,18,2,1,0
2024-07-08,paid_social,us,desktop,611,41,17,2
2024-07-08,paid_social,eu,desktop,280,20,8,1
2024-07-08,paid_social,apac,desktop,126,8,3,0
2024-07-08,paid_social,latam,desktop,90,7,3,0
2024-07-08,paid_social,us,mobile,614,43,14,2
2024-07-08,paid_social,eu,mobile,237,16,5,1
2024-07-08,paid_social,apac,mobile,159,11,4,1
2024-07-08,paid_social,latam,mobile,75,5,2,0
2024-07-08,paid_social,us,tablet,164,11,4,1
2024-07-08,paid_social,eu,tablet,56,4,1,0
2024-07-08,paid_social,apac,tablet,29,2,1,0
2024-07-08,paid_social,latam,tablet,20,1,0,0
2024-07-08,email,us,desktop,229,31,11,1
2024-07-08,email,eu,desktop,108,17,6,1
2024-07-08,email,apac,desktop,42,6,2,0
2024-07-08,email,latam,desktop,22,3,1,0
2024-07-08,email,us,mobile,210,28,7,1
2024-07-08,email,eu,mobile,88,13,3,0
2024-07-08,email,apac,mobile,39,6,1,0
2024-07-08,email,latam,mobile,34,5,1,0
2024-07-08,email,us,tablet,48,7,2,0
2024-07-08,email,eu,tablet,22,3,1,0
2024-07-08,email,apac,tablet,11,2,1,0
2024-07-08,email,latam,tablet,6,1,0,0
2024-07-08,referral,us,desktop,333,33,18,4
2024-07-08,referral,eu,desktop,145,16,9,2
2024-07-08,referral,apac,desktop,79,6,3,1
2024-07-08,referral,latam,desktop,51,5,2,0
2024-07-08,referral,us,mobile,345,29,12,3
2024-07-08,referral,eu,mobile,154,16,7,1
2024-07-08,referral,apac,mobile,79,8,3,1
2024-07-08,referral,latam,mobile,55,5,2,0
2024-07-08,referral,us,tablet,77,7,3,1
2024-07-08,referral,eu,tablet,34,3,2,0
2024-07-08,referral,apac,tablet,13,1,0,0
2024-07-08,referral,latam,tablet,10,1,0,0
2024-07-09,organic,us,desktop,910,82,45,9
2024-07-09,organic,eu,desktop,409,36,16,3
2024-07-09,organic,apac,desktop,191,17,8,2
2024-07-09,organic,latam,desktop,133,11,5,1
2024-07-09,organic,us,mobile,799,68,25,4
2024-07-09,organic,eu,mobile,400,34,14,3
2024-07-09,organic,apac,mobile,189,14,5,1
2024-07-09,organic,latam,mobile,118,10,3,0
2024-07-09,organic,us,tablet,220,20,9,2
2024-07-09,organic,eu,tablet,86,8,3,1
2024-07-09,organic,apac,tablet,51,4,2,0
2024-07-09,organic,latam,tablet,31,3,1,0
2024-07-09,paid_search,us,desktop,863,102,57,18
2024-07-09,paid_search,eu,desktop,366,39,25,7
2024-07-09,paid_search,apac,desktop,147,16,9,3
2024-07-09,paid_search,latam,desktop,108,11,7,1
2024-07-09,paid_search,us,mobile,721,77,33,10
2024-07-09,paid_search,eu,mobile,389,41,21,5
2024-07-09,paid_search,apac,mobile,119,11,6,2
2024-07-09,paid_search,latam,mobile,101,11,5,1
2024-07-09,paid_search,us,tablet,160,17,10,3
2024-07-09,paid_search,eu,tablet,79,8,5,1
2024-07-09,paid_search,apac,tablet,32,4,2,1
2024-07-09,paid_search,latam,tablet,22,2,1,0
2024-07-09,paid_social,us,desktop,649,46,22,3
2024-07-09,paid_social,eu,desktop,306,23,10,1
2024-07-09,paid_social,apac,desktop,153,10,4,1
2024-07-09,paid_social,latam,desktop,99,6,3,0
2024-07-09,paid_social,us,mobile,661,42,13,2
2024-07-09,paid_social,eu,mobile,258,16,5,1
2024-07-09,paid_social,apac,mobile,132,9,3,0
2024-07-09,paid_social,latam,mobile,91,7,2,0
2024-07-09,paid_social,us,tablet,112,8,3,0
2024-07-09,paid_social,eu,tablet,48,3,1,0
2024-07-09,paid_social,apac,tablet,38,3,1,0
2024-07-09,paid_social,latam,tablet,18,1,0,0
2024-07-09,email,us,desktop,227,35,12,1
2024-07-09,email,eu,desktop,106,15,5,0
2024-07-09,email,apac,desktop,37,5,2,0
2024-07-09,email,latam,desktop,26,4,1,0
2024-07-09,email,us,mobile,174,24,6,1
2024-07-09,email,eu,mobile,87,11,3,0
2024-07-09,email,apac,mobile,45,6,2,0
2024-07-09,email,latam,mobile,31,4,1,0
2024-07-09,email,us,tablet,41,6,2,0
2024-07-09,email,eu,tablet,23,3,1,0
2024-07-09,email,apac,tablet,11,1,0,0
2024-07-09,email,latam,tablet,7,1,0,0
2024-07-09,referral,us,desktop,382,35,17,4
2024-07-09,referral,eu,desktop,156,12,6,1
2024-07-09,referral,apac,desktop,67,6,3,1
2024-07-09,referral,latam,desktop,47,5,3,0
2024-07-09,referral,us,mobile,390,37,15,4
2024-07-09,referral,eu,mobile,148,14,6,1
2024-07-09,referral,apac,mobile,69,6,3,1
2024-07-09,referral,latam,mobile,51,5,2,0
2024-07-09,referral,us,tablet,62,6,3,1
2024-07-09,referral,eu,tablet,34,3,1,0
2024-07-09,referral,apac,tablet,17,2,1,0
2024-07-09,referral,latam,tablet,11,1,0,0
2024-07-10,organic,us,desktop,980,88,43,8
2024-07-10,organic,eu,desktop,460,41,19,3
2024-07-10,organic,apac,desktop,194,18,9,2
2024-07-10,organic,latam,desktop,159,12,5,1
2024-07-10,organic,us,mobile,997,86,34,6
2024-07-10,organic,eu,mobile,474,37,14,2
2024-07-10,organic,apac,mobile,244,22,8,2
2024-07-10,organic,latam,mobile,145,14,5,1
2024-07-10,organic,us,tablet,191,17,7,1
2024-07-10,organic,eu,tablet,108,9,3,1
