sale_id,sale_date,region,channel,revenue,units
90,2025-06-12,us,online,262.69,6
91,2025-09-11,apac,online,378.63,9
92,2026-03-27,apac,online,330.59,11
93,2025-11-24,latam,online,446.55,15
94,2025-08-08,apac,wholesale,558.36,19
95,2026-03-02,apac,online,435.54,12
96,2025-01-21,us,retail,260.77,6
97,2025-01-07,us,online,328.38,9
98,2025-08-14,us,retail,231.46,6
99,2026-02-03,latam,online,389.92,11
100,2025-05-11,latam,online,496.69,11
101,2025-01-28,apac,retail,319.60,7
102,2025-12-02,latam,online,457.48,14
103,2026-01-24,latam,retail,326.08,9
104,2025-02-23,us,online,387.09,8
105,2025-02-11,latam,online,433.35,14
106,2025-05-10,eu,wholesale,588.02,16
107,2026-04-22,eu,retail,389.40,13
108,2025-04-28,us,retail,215.86,5
109,2025-01-27,latam,online,490.94,11
110,2025-07-23,apac,retail,268.44,9
111,2025-04-15,us,online,323.91,8
112,2025-02-12,us,retail,216.93,6
113,2026-06-03,apac,online,355.86,10
114,2026-01-06,apac,online,354.49,9
115,2026-03-22,us,retail,255.66,6
116,2026-05-11,us,retail,302.93,8
117,2025-11-27,us,online,340.47,12
118,2026-04-21,us,online,245.54,6
119,2026-05-22,us,online,350.09,11
120,2025-10-10,us,online,281.63,7
121,2025-09-05,apac,wholesale,561.04,13
122,2026-05-18,us,online,289.27,8
123,2026-02-19,eu,online,500.92,13
124,2026-03-12,apac,online,325.50,7
125,2026-04-10,us,online,330.99,11
126,2025-07-09,latam,wholesale,750.29,24
127,2026-06-22,us,online,217.08,5
128,2025-11-06,latam,online,347.26,12
129,2025-02-25,apac,online,296.92,10
130,2025-01-13,us,online,281.69,7
131,2025-07-08,apac,online,392.18,9
132,2026-05-19,eu,wholesale,815.62,28
133,2025-06-02,us,wholesale,594.84,20
134,2026-03-03,latam,online,313.24,8
135,2026-06-20,us,online,242.48,7
136,2025-03-03,us,online,395.03,10
137,2025-08-01,us,retail,224.08,8
138,2025-06-10,latam,online,401.30,14
139,2025-10-26,apac,online,394.87,12
140,2025-08-28,us,wholesale,489.67,11
141,2025-07-22,us,online,259.75,7
142,2025-03-15,us,retail,256.37,9
143,2025-10-23,us,online,262.44,8
144,2026-05-21,apac,online,378.13,11
145,2025-11-27,us,retail,262.15,8
146,2025-01-22,us,retail,263.53,6
147,2025-02-11,us,online,337.05,9
148,2026-03-23,apac,online,333.28,8
149,2025-12-23,apac,wholesale,524.98,18
150,2026-05-23,latam,online,454.73,14
151,2025-02-07,us,retail,215.97,6
152,2026-06-11,us,online,308.76,7
153,2026-04-19,eu,retail,388.49,11
154,2025-02-22,us,online,312.03,10
155,2026-03-25,us,retail,295.13,10
156,2025-06-12,us,retail,242.79,7
157,2025-08-19,eu,online,657.71,18
158,2026-05-26,eu,retail,410.64,9
159,2026-03-02,latam,retail,402.70,12
160,2026-06-05,us,online,237.96,6
161,2026-03-01,eu,wholesale,737.93,22
162,2026-05-17,eu,retail,490.24,11
163,2025-12-07,apac,online,308.76,9
164,2025-09-02,latam,wholesale,654.87,17
165,2025-02-14,latam,retail,324.59,7
166,2025-06-05,apac,retail,323.58,9
167,2025-12-06,eu,online,606.80,17
168,2025-05-28,apac,online,295.76,8
169,2026-04-26,us,wholesale,545.93,14
170,2025-12-03,apac,wholesale,522.82,12
171,2025-11-21,us,online,247.40,7
172,2025-08-29,apac,online,295.44,8
173,2025-04-03,us,retail,228.00,6
174,2025-11-03,us,online,306.61,7
175,2025-10-28,eu,retail,382.62,12
176,2025-07-04,apac,online,395.61,13
177,2025-09-04,eu,retail,349.97,11
178,2025-01-10,us,online,335.78,8
179,2025-06-11,apac,online,453.11,10
180,2025-09-14,latam,retail,388.54,11
181,2026-05-10,latam,retail,375.71,11
182,2025-01-23,latam,retail,369.13,8
183,2025-02-20,us,online,391.26,9
184,2025-08-24,us,retail,214.64,6
185,2025-09-14,latam,online,393.85,10
186,2025-02-10,us,online,248.31,7
187,2025-05-15,apac,online,390.49,9
188,2026-01-10,latam,wholesale,725.05,19
189,2025-09-21,us,retail,299.34,7
190,2025-04-28,latam,retail,293.01,8
191,2025-08-20,eu,retail,467.13,10
192,2026-01-10,us,retail,204.41,7
193,2025-05-07,apac,online,298.01,7
194,2026-01-16,us,retail,281.47,9
195,2025-12-02,latam,wholesale,738.32,25
196,2025-11-06,us,retail,229.66,6
197,2025-02-08,eu,wholesale,793.04,27
198,2026-04-10,us,wholesale,543.22,16
199,2026-03-06,us,retail,200.43,5
200,2026-02-22,us,retail,240.98,5
201,2025-08-11,latam,online,311.38,7
202,2026-01-03,eu,online,573.29,20
203,2026-04-11,latam,retail,367.90,9
204,2025-12-08,us,wholesale,501.66,15
205,2025-03-12,eu,online,558.13,14
206,2025-06-01,us,online,259.87,6
207,2025-05-29,us,online,384.96,9
208,2025-05-15,eu,retail,411.13,15
209,2025-11-28,us,online,328.13,11
210,2025-03-07,apac,wholesale,581.37,16
211,2025-04-22,us,online,275.67,7
212,2026-06-18,us,retail,246.05,7
213,2026-05-06,us,wholesale,574.92,19
214,2025-03-24,us,online,300.30,9
215,2025-11-29,eu,wholesale,733.30,22
216,2025-04-28,apac,online,399.65,9
217,2025-08-09,us,retail,207.09,6
218,2025-04-08,us,online,332.05,10
219,2025-06-06,latam,online,407.38,14
220,2026-01-17,eu,online,454.74,11
221,2025-12-04,us,online,315.08,7
222,2025-02-22,us,online,267.55,6
223,2026-06-04,us,online,348.64,11
224,2026-01-12,eu,retail,487.01,16
225,2026-03-16,latam,online,508.70,12
226,2025-01-27,us,online,244.97,6
227,2025-01-30,us,online,361.51,11
228,2025-05-27,latam,wholesale,804.50,21
229,2025-02-01,apac,wholesale,647.26,19
230,2025-11-16,apac,wholesale,622.33,15
231,2025-03-28,us,online,315.56,8
232,2026-03-30,eu,wholesale,793.15,20
233,2025-10-07,apac,online,371.11,11
234,2026-05-14,eu,online,593.04,16
235,2025-02-26,latam,online,473.65,15
236,2025-12-02,eu,online,522.55,17
237,2025-05-13,apac,online,310.82,8
238,2025-03-15,us,retail,270.71,8
239,2026-04-16,us,online,363.05,9
240,2026-03-04,us,retail,237.57,7
241,2025-06-25,apac,retail,303.20,7
242,2025-04-19,us,wholesale,404.20,12
243,2026-02-10,us,online,380.71,12
244,2025-04-27,us,wholesale,410.72,11
245,2025-12-26,latam,retail,333.19,8
246,2025-07-22,latam,wholesale,536.90,17
247,2025-03-19,eu,retail,453.98,12
248,2026-04-05,us,retail,284.48,7
249,2025-11-27,us,online,333.26,11
250,2025-11-07,eu,online,453.97,11
251,2025-03-17,us,online,318.67,11
252,2025-04-03,us,wholesale,538.67,14
253,2025-02-12,apac,online,285.18,7
254,2025-06-04,latam,online,459.20,10
255,2025-12-18,apac,retail,302.42,8
256,2026-03-26,eu,retail,413.69,11
257,2025-10-17,us,online,282.27,7
258,2025-12-09,eu,online,589.98,20
259,2025-10-18,eu,online,518.47,11
260,2025-03-25,us,wholesale,661.62,17
261,2026-02-06,eu,online,587.57,20
262,2025-12-03,us,online,380.75,9
263,2026-06-24,us,retail,307.89,8
264,2025-08-08,eu,online,571.51,17
265,2025-05-21,us,wholesale,507.13,12
266,2026-06-24,apac,online,389.92,14
267,2025-05-15,latam,retail,324.43,10
268,2025-06-19,us,online,321.65,8
269,2025-09-01,eu,online,604.14,15
270,2025-09-02,us,online,290.61,9
271,2025-07-18,us,online,241.11,5
272,2026-01-27,apac,online,437.33,12
273,2025-07-24,apac,wholesale,587.94,18
274,2025-04-16,us,retail,251.35,6
275,2025-03-27,apac,wholesale,580.54,13
276,2025-08-16,eu,online,470.36,11
277,2026-03-01,us,retail,272.12,8
278,2025-01-29,us,online,313.96,9
279,2025-12-10,eu,retail,422.98,13
280,2025-05-23,us,retail,224.86,5
281,2025-03-23,apac,online,389.90,13
282,2026-03-10,us,online,302.99,10
283,2025-02-18,latam,online,435.35,11
284,2026-05-27,eu,retail,487.07,13
285,2025-09-05,eu,online,509.83,18
286,2025-07-11,latam,online,388.02,10
287,2025-03-11,eu,retail,475.90,11
288,2026-04-27,apac,wholesale,551.00,19
289,2025-01-17,apac,online,349.93,11
290,2025-12-07,us,wholesale,554.81,18
291,2025-06-29,latam,online,467.93,10
292,2025-05-19,apac,wholesale,484.10,17
293,2025-10-28,us,online,319.08,7
294,2026-02-12,latam,online,517.13,11
295,2025-07-15,apac,online,340.65,12
296,2026-01-12,us,online,412.98,12
297,2026-01-31,apac,online,345.26,9
298,2025-10-01,apac,retail,306.84,7
299,2025-07-04,us,wholesale,431.35,15
300,2026-03-13,us,online,325.03,10
301,2025-12-28,apac,online,325.35,8
302,2026-02-20,us,wholesale,439.34,13
303,2025-02-01,us,online,330.72,8
304,2026-01-11,eu,wholesale,938.72,27
305,2025-06-07,us,wholesale,419.45,12
306,2026-06-27,us,online,220.80,6
307,2025-04-27,latam,online,462.67,12
308,2025-09-24,us,wholesale,485.99,12
309,2026-05-18,latam,online,438.58,15
310,2025-03-31,latam,retail,365.21,9
311,2025-12-22,us,retail,230.85,7
312,2025-06-28,latam,wholesale,587.02,14
313,2025-07-25,apac,wholesale,589.27,16
314,2026-04-24,latam,online,393.39,9
315,2025-03-30,us,online,372.10,9
316,2026-02-24,apac,online,377.48,9
317,2025-03-17,eu,retail,344.32,10
318,2025-07-06,us,retail,253.44,6
319,2025-02-26,eu,online,556.90,17
320,2025-08-19,latam,retail,300.50,9
321,2025-03-22,us,retail,239.84,6
322,2025-04-06,eu,online,608.60,16
323,2025-06-07,latam,retail,371.45,8
324,2025-02-12,latam,retail,394.84,9
325,2025-09-29,eu,wholesale,732.82,21
326,2025-10-24,us,online,279.21,7
327,2026-02-20,latam,online,424.10,15
328,2025-07-28,apac,online,376.08,11
329,2025-11-23,eu,retail,406.17,9
330,2025-04-19,eu,online,396.70,12
331,2025-09-11,apac,online,368.82,8
332,2025-06-13,us,online,308.98,7
333,2025-07-14,us,retail,242.79,7
334,2025-01-24,apac,online,309.44,10
335,2025-09-04,apac,online,368.76,13
336,2026-04-27,apac,retail,319.47,10
337,2025-05-18,eu,wholesale,951.05,23
338,2025-07-19,apac,online,313.10,9
339,2026-04-07,latam,online,433.78,9
340,2025-04-10,us,wholesale,484.11,14
341,2026-01-10,us,online,300.75,8
342,2025-05-21,apac,wholesale,529.97,13
343,2025-06-02,us,online,265.97,8
344,2025-11-03,us,wholesale,488.06,13
345,2026-05-17,apac,online,350.65,8
346,2026-03-03,apac,online,324.75,8
347,2025-01-28,us,retail,221.44,6
348,2025-08-22,us,online,283.82,7
349,2026-01-25,us,wholesale,594.22,21
350,2025-01-20,us,wholesale,549.69,15
351,2025-07-28,apac,online,296.91,7
352,2025-03-05,us,retail,266.55,7
353,2026-05-05,apac,online,322.99,10
354,2025-12-29,us,online,295.02,7
355,2025-09-28,us,online,281.88,9
356,2025-11-01,us,online,318.25,8
357,2026-05-16,us,online,319.78,7
358,2025-05-05,us,online,330.43,9
359,2026-02-09,apac,retail,323.80,8
360,2025-03-22,latam,online,313.34,9
361,2026-05-06,apac,online,378.18,12
362,2025-04-22,us,online,408.50,10
363,2026-06-28,us,online,339.46,11
364,2025-05-21,latam,online,467.13,17
365,2026-02-21,us,retail,230.01,6
366,2025-10-22,us,retail,213.65,6
367,2025-04-02,us,retail,254.53,6
368,2025-06-29,us,wholesale,445.77,13
369,2025-02-07,us,retail,268.96,7
370,2025-10-24,us,retail,239.49,5
371,2025-04-20,eu,online,570.77,16
372,2025-05-18,us,online,319.22,7
373,2025-04-26,apac,wholesale,521.61,13
374,2025-12-12,us,wholesale,561.62,13
375,2025-06-29,us,retail,232.82,7
376,2026-02-15,apac,online,320.42,8
377,2025-11-28,latam,wholesale,696.89,20
378,2025-12-04,apac,online,358.02,11
379,2026-01-04,us,wholesale,472.74,16
380,2026-05-30,latam,online,412.70,9
381,2025-05-01,us,retail,195.95,6
382,2026-05-05,latam,retail,268.92,9
383,2026-03-02,us,online,276.35,7
384,2025-09-11,us,retail,179.26,4
385,2026-06-23,us,retail,220.62,8
386,2026-06-02,us,wholesale,568.95,18
387,2026-06-17,apac,wholesale,478.51,12
388,2026-04-02,apac,retail,306.65,7
389,2026-04-13,apac,online,309.13,8
390,2025-09-18,latam,wholesale,646.72,15
391,2025-02-16,us,online,250.41,7
392,2026-04-29,eu,retail,451.75,16
393,2026-03-07,apac,retail,236.69,7
394,2025-03-24,us,online,353.81,9
395,2025-12-23,us,online,427.85,12
396,2025-01-04,eu,retail,522.43,13
397,2026-03-11,us,online,234.31,7
398,2025-04-26,latam,online,410.85,14
399,2025-01-17,us,online,335.88,9
400,2025-02-19,apac,online,376.10,12
401,2025-08-11,eu,online,522.97,17
402,2025-11-23,us,online,237.74,6
403,2025-08-31,us,retail,234.88,6
404,2025-03-04,latam,online,457.19,12
405,2025-06-29,us,retail,244.14,7
406,2026-01-26,us,retail,218.37,5
407,2025-06-02,latam,online,419.86,11
408,2025-05-28,latam,online,461.29,11
409,2026-03-03,us,online,281.92,9
410,2026-04-06,latam,online,420.25,10
411,2025-07-15,eu,retail,462.05,12
412,2025-08-11,eu,wholesale,862.91,24
413,2025-01-16,us,online,305.55,7
414,2025-09-06,us,retail,258.16,6
415,2025-09-03,us,online,269.20,8
416,2025-09-25,apac,online,336.00,10
417,2026-04-26,us,online,302.31,10
418,2025-08-15,latam,wholesale,615.65,15
419,2026-03-04,eu,online,508.45,16
420,2025-12-12,us,online,360.50,11
421,2026-05-18,us,retail,194.62,6
422,2025-07-08,eu,online,544.70,12
423,2025-03-02,apac,online,278.36,9
424,2025-01-07,us,wholesale,463.50,13
425,2025-06-04,us,online,342.67,10
426,2026-05-10,us,online,337.74,8
427,2026-02-26,eu,online,596.40,18
428,2026-03-17,us,wholesale,485.26,11
429,2025-04-09,us,wholesale,437.73,11
430,2026-02-11,latam,online,424.15,14
431,2025-09-07,us,online,325.71,8
432,2025-02-02,us,online,298.42,10
433,2025-02-27,apac,online,316.05,11
434,2025-12-06,us,online,257.53,7
435,2026-06-25,us,wholesale,516.37,12
436,2025-10-05,us,online,320.87,11
437,2025-02-03,eu,retail,457.79,16
438,2026-02-12,latam,wholesale,833.34,19
439,2026-02-03,latam,online,401.52,12
440,2025-03-22,us,retail,207.79,6
441,2026-03-24,us,wholesale,482.56,12
442,2025-12-01,us,online,350.89,12
443,2026-05-18,latam,retail,351.17,10
444,2026-01-25,latam,online,494.87,17
445,2025-03-17,us,retail,284.20,7
446,2025-11-21,us,retail,277.18,8
447,2026-04-01,eu,retail,390.78,13
448,2026-06-09,latam,online,461.54,13
449,2025-04-06,eu,online,430.34,10
450,2025-03-28,eu,online,457.47,11
451,2025-09-06,us,retail,250.36,7
452,2026-05-20,eu,online,503.38,16
453,2025-11-03,latam,online,409.46,13
454,2025-07-20,latam,online,432.04,12
455,2026-02-10,eu,wholesale,763.38,18
456,2025-05-20,latam,online,492.43,15
457,2026-05-06,us,online,294.22,6
458,2026-05-18,latam,online,552.67,12
459,2025-10-15,us,online,314.59,10
460,2025-07-04,us,online,298.29,7
461,2026-04-18,us,retail,288.66,7
462,2026-02-23,us,wholesale,466.14,12
463,2025-09-16,eu,online,466.31,11
464,2026-05-06,eu,retail,349.55,9
465,2026-03-05,apac,retail,229.16,7
466,2025-03-29,us,online,282.76,9
467,2025-06-20,latam,online,420.63,9
468,2025-12-06,us,online,325.35,7
469,2025-09-22,apac,wholesale,596.05,16
470,2026-01-19,us,online,400.61,11
471,2026-05-28,us,online,373.29,10
472,2025-03-29,latam,retail,460.81,15
473,2025-11-16,us,wholesale,424.31,11
474,2026-04-09,latam,wholesale,808.57,24
475,2025-04-28,latam,retail,381.46,13
476,2025-09-07,us,retail,243.73,7
477,2026-03-13,us,online,363.21,10
478,2026-03-19,latam,online,420.33,12
479,2026-04-06,us,retail,216.08,5
480,2025-03-06,latam,retail,321.57,8
481,2026-01-10,us,online,281.70,9
482,2025-11-17,us,online,335.36,9
483,2025-12-23,us,online,308.41,10
484,2025-03-28,us,retail,296.53,7
485,2025-04-30,latam,online,462.41,12
486,2026-01-28,apac,wholesale,673.02,19
487,2025-06-27,apac,online,312.85,10
488,2025-02-24,latam,online,409.76,9
489,2025-07-19,us,online,336.95,9
490,2026-03-02,apac,online,257.90,6
491,2025-02-01,apac,wholesale,589.87,21
492,2026-04-14,latam,online,395.08,10
493,2026-06-08,us,online,313.43,7
494,2025-02-12,us,online,311.57,7
495,2026-03-12,apac,online,425.07,10
496,2026-04-06,latam,retail,390.63,12
497,2025-05-01,us,wholesale,486.79,11
498,2026-03-15,us,online,305.82,10
499,2025-07-31,eu,wholesale,876.28,23
500,2025-10-27,us,wholesale,457.45,14
501,2025-04-08,latam,retail,389.27,11
502,2025-05-10,eu,online,598.20,15
503,2025-11-26,eu,wholesale,912.02,23
504,2025-10-03,apac,online,295.57,8
505,2025-04-06,apac,wholesale,481.72,12
506,2026-05-15,us,online,334.35,10
507,2025-04-06,eu,retail,409.39,10
508,2026-02-12,latam,wholesale,597.22,19
509,2025-10-02,apac,wholesale,551.05,15
510,2025-12-18,eu,retail,452.57,10
511,2026-04-16,us,wholesale,611.94,20
512,2026-03-15,apac,retail,296.13,9
513,2025-11-06,us,wholesale,616.88,19
514,2026-01-16,us,online,413.54,10
515,2025-11-09,us,wholesale,519.78,15
516,2025-08-07,eu,wholesale,666.39,18
517,2026-04-01,eu,online,616.08,14
518,2025-05-16,us,online,303.24,8
519,2025-04-15,latam,wholesale,750.99,22
520,2025-05-17,apac,retail,307.98,8
521,2025-01-09,us,wholesale,506.37,15
522,2026-02-26,latam,retail,328.21,8
523,2025-04-13,apac,wholesale,598.59,15
524,2025-05-24,latam,online,450.39,14
525,2025-10-19,us,online,346.14,8
526,2026-06-15,us,online,274.45,7
527,2025-02-25,latam,online,449.33,14
528,2025-03-14,apac,online,284.96,8
529,2025-11-21,us,retail,278.63,7
530,2026-04-28,apac,online,423.27,9
531,2025-03-11,us,wholesale,520.01,12
532,2025-10-21,us,online,302.17,8
533,2026-02-16,apac,online,406.55,10
534,2026-06-08,latam,online,461.68,10
535,2025-12-01,us,wholesale,416.81,10
536,2026-03-24,us,wholesale,593.83,14
537,2025-03-30,us,wholesale,505.45,13
538,2025-06-29,eu,online,505.87,17
539,2025-06-17,us,retail,238.33,6
540,2026-01-16,us,online,300.75,10
541,2025-05-01,us,online,301.18,7
542,2025-03-20,latam,wholesale,668.03,18
543,2025-06-20,apac,wholesale,540.25,18
544,2025-08-22,us,retail,286.24,7
545,2025-01-13,eu,retail,417.93,12
546,2025-02-06,eu,retail,472.37,12
547,2026-03-06,us,retail,243.47,5
548,2026-01-17,latam,retail,374.79,12
549,2025-08-17,us,wholesale,596.80,13
550,2025-10-17,eu,online,354.00,8
551,2026-04-13,latam,wholesale,743.19,19
552,2026-04-21,latam,online,431.73,12
553,2025-07-20,us,retail,236.02,6
554,2025-01-25,eu,retail,353.60,11
555,2025-01-10,latam,retail,346.13,9
556,2025-04-17,us,retail,239.53,8
557,2025-03-03,us,online,319.66,10
558,2026-06-17,eu,online,514.07,15
559,2025-03-28,us,online,262.66,7
560,2025-03-05,apac,online,335.09,9
561,2025-09-25,us,online,348.67,10
562,2026-04-09,us,online,233.81,7
563,2025-04-22,eu,wholesale,865.50,24
564,2025-08-01,apac,online,381.45,11
565,2025-04-03,apac,retail,316.85,7
566,2025-12-02,us,wholesale,617.87,20
567,2026-02-10,us,retail,219.81,7
568,2026-02-19,us,wholesale,472.68,11
569,2025-04-07,us,online,264.49,9
570,2025-08-16,eu,retail,437.29,14
571,2025-03-28,us,online,275.78,6
572,2026-03-31,eu,wholesale,793.79,19
573,2025-12-06,eu,retail,501.61,17
574,2026-02-09,us,online,359.85,10
575,2025-12-29,apac,online,366.12,11
576,2025-09-09,us,wholesale,516.17,13
577,2026-05-06,apac,retail,313.97,10
578,2026-06-23,latam,retail,356.50,11
579,2025-01-20,us,online,362.69,11
580,2026-05-30,apac,online,354.98,11
581,2025-08-13,latam,wholesale,836.08,25
582,2026-01-02,us,online,312.02,7
583,2025-04-13,us,retail,240.29,6
584,2025-08-13,us,retail,261.39,7
585,2025-06-27,us,online,321.60,8
586,2025-01-29,us,retail,306.53,8
587,2025-05-26,latam,online,399.26,9
588,2025-11-13,us,online,291.02,9
589,2025-08-13,eu,wholesale,944.95,28
590,2025-12-15,us,retail,272.58,7
591,2025-11-28,us,retail,255.16,6
592,2026-06-23,eu,wholesale,852.63,20
593,2026-02-10,us,online,272.04,8
594,2026-03-24,us,retail,226.58,5
595,2025-06-28,us,online,287.71,7
596,2025-06-29,us,online,285.20,8
597,2025-07-01,us,online,288.36,6
598,2025-02-03,apac,retail,204.49,7
599,2025-08-15,latam,retail,331.63,9
600,2025-12-22,latam,wholesale,658.23,14
601,2025-04-01,latam,retail,370.75,9
602,2025-08-03,latam,wholesale,577.31,18
603,2025-04-21,eu,online,516.38,14
604,2026-02-28,apac,wholesale,554.66,15
605,2025-04-14,apac,online,396.20,10
606,2026-04-08,us,online,244.15,8
607,2025-11-23,us,online,298.82,9
608,2025-03-18,us,wholesale,507.03,13
609,2026-05-10,us,wholesale,462.74,12
610,2025-02-24,us,online,294.02,10
611,2025-09-29,latam,wholesale,651.05,22
612,2026-05-18,apac,online,329.28,11
613,2025-10-29,latam,online,462.37,13
614,2025-10-26,eu,wholesale,706.95,16
615,2026-02-12,apac,wholesale,431.73,13
616,2026-01-15,us,online,350.49,8
617,2025-09-27,apac,online,328.61,8
618,2025-04-10,us,wholesale,554.59,19
619,2025-08-21,latam,online,336.64,8
620,2026-05-02,apac,online,332.63,9
621,2026-02-09,latam,online,496.91,13
622,2025-05-31,us,retail,213.85,7
623,2025-06-21,us,wholesale,583.12,19
624,2026-03-22,apac,retail,277.07,9
625,2025-09-22,us,wholesale,440.61,10
626,2025-11-30,eu,online,611.06,14
627,2025-01-13,apac,retail,298.99,8
628,2025-06-01,apac,online,301.24,8
629,2025-04-13,us,retail,304.85,10
630,2025-12-19,latam,online,399.84,9
631,2026-04-30,latam,online,470.28,15
632,2025-02-09,us,online,342.53,10
633,2025-02-20,us,online,297.84,7
634,2025-11-07,eu,retail,303.61,9
635,2025-04-11,us,retail,260.41,8
636,2025-11-25,us,retail,236.44,7
637,2025-07-12,apac,online,270.77,8
638,2026-01-18,apac,online,394.22,9
639,2025-11-15,apac,wholesale,558.35,13
640,2025-06-27,apac,online,317.50,10
641,2025-09-13,us,retail,249.08,7
642,2026-04-21,latam,online,433.43,12
643,2025-02-01,us,wholesale,539.77,15
644,2025-12-25,us,online,341.65,10
645,2025-04-03,us,online,292.22,9
646,2025-08-15,us,retail,299.03,8
647,2026-02-24,us,online,254.88,6
648,2025-05-16,us,online,328.30,8
649,2025-09-16,us,wholesale,416.36,10
650,2026-01-21,us,online,274.44,6
651,2025-11-06,apac,online,324.42,9
652,2026-01-19,eu,online,415.59,11
653,2025-04-21,us,online,298.84,9
654,2025-11-02,latam,online,435.35,14
655,2025-02-28,apac,online,386.55,10
656,2025-01-27,us,online,266.96,7
657,2026-03-05,us,online,251.44,7
658,2025-12-18,us,retail,266.55,6
659,2026-05-03,latam,online,494.12,13
660,2025-07-05,us,retail,216.18,6
661,2025-07-07,apac,retail,358.02,9
662,2025-11-11,latam,online,393.78,11
663,2025-10-29,us,online,282.44,10
664,2025-03-14,us,online,339.54,9
665,2026-01-26,latam,wholesale,604.26,14
666,2025-12-17,eu,retail,406.39,11
667,2026-04-14,us,retail,307.82,10
668,2025-07-01,eu,online,617.34,18
669,2025-08-03,eu,online,522.66,13
670,2025-04-01,apac,retail,267.05,9
671,2026-03-16,apac,online,401.47,14
672,2025-01-15,latam,online,419.03,10
673,2025-01-19,us,online,277.55,9
674,2025-05-13,us,online,284.44,10
675,2025-03-08,apac,online,376.27,11
676,2025-12-12,us,online,272.91,8
677,2026-05-17,us,wholesale,509.66,11
678,2025-08-22,us,online,317.99,10
679,2025-01-23,us,wholesale,450.37,13
680,2025-09-19,us,wholesale,515.09,12
681,2025-02-19,us,online,304.25,11
682,2026-01-25,us,online,285.19,9
683,2025-07-30,latam,retail,324.34,10
