month,department,headcount,avg_salary,salary_cost,benefits_cost
2025-03-01,customer_success,14,7558.93,105825.04,21165.01
2025-03-01,operations,15,7221.84,108327.58,19498.96
2025-03-01,g_and_a,7,12442.76,87099.33,21774.83
2025-04-01,engineering,44,15840.07,696963.0,195149.64
2025-04-01,sales,23,10849.75,249544.15,54899.71
2025-04-01,marketing,10,9663.67,96636.65,21260.06
2025-04-01,customer_success,13,7695.54,100042.08,20008.42
2025-04-01,operations,15,6991.56,104873.34,18877.2
2025-04-01,g_and_a,7,13323.62,93265.33,23316.33
2025-05-01,engineering,46,15328.15,705094.88,197426.57
2025-05-01,sales,23,10107.9,232481.8,51146.0
2025-05-01,marketing,11,9618.7,105805.73,23277.26
2025-05-01,customer_success,14,7820.96,109493.5,21898.7
2025-05-01,operations,16,7048.8,112780.77,20300.54
2025-05-01,g_and_a,7,12789.25,89524.75,22381.19
2025-06-01,engineering,47,15192.47,714045.86,199932.84
2025-06-01,sales,24,10504.76,252114.15,55465.11
2025-06-01,marketing,11,9380.71,103187.77,22701.31
2025-06-01,customer_success,15,7984.03,119760.5,23952.1
2025-06-01,operations,15,7289.58,109343.63,19681.85
2025-06-01,g_and_a,7,12775.21,89426.45,22356.61
2025-07-01,engineering,48,15517.06,744818.74,208549.25
2025-07-01,sales,26,10311.81,268107.1,58983.56
2025-07-01,marketing,11,9863.5,108498.48,23869.67
2025-07-01,customer_success,14,7971.14,111595.89,22319.18
2025-07-01,operations,15,7334.69,110020.33,19803.66
2025-07-01,g_and_a,7,12874.86,90124.03,22531.01
2025-08-01,engineering,45,15230.25,685361.03,191901.09
2025-08-01,sales,24,10897.38,261537.19,57538.18
2025-08-01,marketing,12,9786.93,117443.13,25837.49
2025-08-01,customer_success,14,8020.55,112287.71,22457.54
2025-08-01,operations,16,7080.23,113283.65,20391.06
2025-08-01,g_and_a,7,12774.04,89418.25,22354.56
2025-09-01,engineering,54,15451.67,834390.43,233629.32
2025-09-01,sales,27,10255.5,276898.39,60917.65
2025-09-01,marketing,12,9633.02,115596.23,25431.17
2025-09-01,customer_success,15,7846.51,117697.64,23539.53
2025-09-01,operations,16,7305.24,116883.89,21039.1
2025-09-01,g_and_a,7,12778.45,89449.16,22362.29
2025-10-01,engineering,52,16065.95,835429.44,233920.24
2025-10-01,sales,26,10716.77,278636.06,61299.93
2025-10-01,marketing,12,10040.79,120489.46,26507.68
2025-10-01,customer_success,16,7645.96,122335.32,24467.06
2025-10-01,operations,16,7471.55,119544.85,21518.07
2025-10-01,g_and_a,7,12876.26,90133.83,22533.46
2025-11-01,engineering,54,15687.97,847150.22,237202.06
2025-11-01,sales,26,10900.49,283412.79,62350.81
2025-11-01,marketing,13,9805.23,127467.98,28042.96
2025-11-01,customer_success,16,8059.08,128945.25,25789.05
2025-11-01,operations,17,7403.82,125865.02,22655.7
2025-11-01,g_and_a,7,12704.72,88933.07,22233.27
2025-12-01,engineering,54,15394.09,831281.08,232758.7
2025-12-01,sales,28,10647.29,298124.1,65587.3
2025-12-01,marketing,13,9971.6,129630.81,28518.78
2025-12-01,customer_success,16,8101.48,129623.64,25924.73
2025-12-01,operations,17,7194.74,122310.57,22015.9
2025-12-01,g_and_a,7,13182.06,92274.45,23068.61
