return_id,order_id,line_item_id,return_date,reason,quantity,refund_amount,status
7104,183691,458688,2024-09-13,wrong_item,3,11.72,approved
7105,95621,238899,2024-04-02,changed_mind,2,22.0,approved
7106,135873,339460,2024-04-21,defective,1,176.89,rejected
7107,176949,441909,2025-08-24,damaged,2,66.17,approved
7108,72253,180611,2024-09-15,damaged,2,83.18,approved
7109,22644,56672,2025-02-20,defective,1,155.51,approved
7110,39485,98772,2024-08-29,not_as_described,1,22.29,rejected
7111,138821,346823,2024-02-05,defective,2,107.35,pending
7112,54534,136165,2025-03-11,not_as_described,2,28.16,rejected
7113,105803,264479,2024-05-13,damaged,2,118.86,refunded
7114,87623,219041,2026-01-02,wrong_item,1,8.03,refunded
7115,63252,158143,2025-12-19,changed_mind,3,108.72,approved
7116,57536,143756,2024-08-27,damaged,1,46.14,approved
7117,110029,275143,2024-10-04,damaged,3,69.81,refunded
7118,45949,114795,2024-09-25,wrong_item,2,47.97,refunded
7119,172984,431959,2024-10-10,damaged,3,107.24,approved
7120,58176,145408,2025-06-17,changed_mind,1,87.25,rejected
7121,152219,380146,2024-10-05,wrong_item,1,94.19,pending
7122,177833,444103,2025-12-03,not_as_described,1,116.46,rejected
7123,29169,72895,2024-09-05,wrong_item,1,17.18,refunded
7124,78745,196843,2025-09-20,changed_mind,2,83.23,pending
7125,173852,434162,2026-01-26,damaged,1,88.27,rejected
7126,111776,279441,2024-02-15,defective,3,36.69,refunded
7127,87769,219416,2025-05-15,not_as_described,2,92.61,refunded
7128,84073,210205,2024-12-29,not_as_described,2,74.74,refunded
7129,179157,447313,2025-01-22,changed_mind,1,14.16,pending
7130,100266,250629,2024-01-26,wrong_item,3,135.28,approved
7131,24520,61327,2025-02-04,damaged,3,46.96,pending
7132,134437,335859,2024-04-27,not_as_described,1,75.15,refunded
7133,7657,19176,2024-04-23,changed_mind,2,54.45,refunded
7134,143770,359142,2025-11-12,not_as_described,1,38.54,rejected
7135,170698,426243,2024-03-17,wrong_item,2,159.9,pending
7136,147339,368013,2024-02-25,changed_mind,1,58.74,pending
7137,24408,61042,2024-01-30,defective,1,128.97,pending
7138,196024,489574,2025-04-08,wrong_item,1,6.4,pending
7139,74673,186643,2024-07-22,changed_mind,2,164.87,approved
7140,84407,211038,2025-09-12,wrong_item,2,62.69,pending
7141,43678,109147,2025-07-10,wrong_item,3,192.52,refunded
7142,43060,107621,2025-12-03,not_as_described,3,21.72,refunded
7143,158764,396573,2024-09-28,not_as_described,1,33.95,rejected
7144,82623,206582,2024-12-05,defective,1,132.24,refunded
7145,150110,374903,2025-02-14,not_as_described,1,135.37,refunded
7146,9353,23413,2025-11-09,defective,1,60.94,pending
7147,121874,304623,2025-03-17,damaged,1,127.99,pending
7148,18568,46436,2025-01-04,changed_mind,3,147.6,approved
7149,132619,331294,2024-03-17,not_as_described,3,17.75,refunded
7150,26102,65242,2024-05-26,not_as_described,2,134.41,refunded
7151,129300,323081,2024-02-02,damaged,2,192.47,rejected
7152,151185,377584,2025-01-12,wrong_item,2,187.23,pending
7153,61066,152596,2025-07-16,wrong_item,2,19.47,pending
7154,53776,134268,2025-10-16,damaged,2,117.14,approved
7155,115454,288675,2024-09-04,damaged,3,177.26,approved
7156,73499,183698,2024-06-04,not_as_described,1,22.15,rejected
7157,52429,130898,2024-03-07,changed_mind,2,31.74,refunded
7158,12599,31438,2025-09-23,wrong_item,2,84.81,approved
7159,130407,325805,2025-12-29,defective,3,63.31,refunded
7160,50585,126319,2025-08-13,defective,1,188.25,pending
7161,65194,162951,2024-11-07,changed_mind,1,119.83,rejected
7162,32767,81910,2024-02-01,changed_mind,2,194.9,rejected
7163,114753,286948,2025-09-17,wrong_item,1,174.42,approved
7164,158473,395843,2024-02-29,changed_mind,2,118.93,pending
7165,25311,63287,2025-06-23,damaged,1,156.18,pending
7166,165889,414285,2024-07-09,damaged,3,131.22,refunded
7167,62000,154968,2024-09-21,not_as_described,2,72.06,approved
7168,188694,471218,2025-11-17,damaged,2,95.41,approved
7169,123927,309710,2025-11-04,not_as_described,2,14.02,refunded
7170,68169,170413,2024-11-03,damaged,1,199.39,rejected
7171,72812,181959,2025-01-12,defective,3,146.87,rejected
7172,178361,445402,2024-08-13,wrong_item,1,51.33,approved
7173,168402,420557,2025-12-07,not_as_described,1,146.85,pending
7174,85703,214216,2025-05-04,not_as_described,1,96.91,approved
7175,58004,144966,2024-08-06,wrong_item,1,26.02,pending
7176,115248,288161,2025-11-21,changed_mind,1,182.34,refunded
7177,5464,13716,2025-07-17,wrong_item,1,16.27,refunded
7178,160534,400968,2024-10-18,damaged,2,47.59,pending
7179,121509,303716,2025-03-02,defective,2,70.41,refunded
7180,123281,308091,2025-10-31,defective,2,104.89,pending
7181,71433,178574,2025-10-25,not_as_described,2,125.32,pending
7182,64646,161602,2025-08-16,not_as_described,2,15.37,rejected
7183,125183,312886,2024-03-24,changed_mind,1,35.11,rejected
7184,151873,379278,2025-05-09,changed_mind,2,89.33,pending
7185,88035,220061,2024-09-12,not_as_described,3,37.08,pending
7186,70101,175292,2024-01-16,not_as_described,2,93.58,approved
7187,35285,88230,2025-12-18,not_as_described,1,16.58,pending
7188,4661,11692,2024-05-16,changed_mind,2,147.87,rejected
7189,107512,268850,2025-03-18,not_as_described,1,94.25,approved
7190,40963,102403,2024-12-12,defective,2,191.38,approved
7191,72351,180845,2025-10-13,changed_mind,1,55.99,approved
7192,35221,88072,2025-02-14,not_as_described,2,143.91,approved
7193,64735,161822,2025-09-09,changed_mind,3,74.83,refunded
7194,154361,385545,2024-01-28,not_as_described,2,112.55,approved
7195,73105,182697,2024-09-03,wrong_item,2,18.29,rejected
7196,179974,449384,2025-05-28,wrong_item,1,138.83,approved
7197,38471,96204,2025-01-25,changed_mind,1,177.49,refunded
7198,139771,349163,2024-01-15,wrong_item,3,141.99,refunded
7199,37355,93413,2024-10-29,damaged,1,87.06,refunded
7200,67229,168029,2025-10-06,not_as_described,1,191.77,pending
7201,151856,379234,2024-04-01,not_as_described,3,171.11,approved
7202,143463,358377,2024-03-06,not_as_described,1,35.01,refunded
7203,16527,41239,2024-04-17,defective,1,86.94,approved
7204,15358,38311,2024-11-29,defective,2,134.7,refunded
7205,65425,163516,2025-10-12,not_as_described,3,39.02,pending
7206,172685,431179,2025-10-14,wrong_item,3,64.38,rejected
7207,30436,76019,2025-11-21,damaged,1,142.31,pending
7208,158296,395395,2025-01-01,not_as_described,2,77.69,rejected
7209,93243,232918,2025-10-11,not_as_described,2,104.95,rejected
7210,6255,15699,2025-10-01,not_as_described,3,126.65,rejected
7211,103197,257998,2025-10-28,damaged,1,33.98,rejected
7212,166359,415474,2026-01-06,defective,2,27.86,approved
7213,180212,449970,2024-05-01,damaged,3,58.33,approved
7214,62689,156728,2025-03-19,changed_mind,3,81.74,rejected
7215,4542,11386,2024-08-03,changed_mind,3,85.84,approved
7216,103133,257858,2025-07-20,defective,1,169.31,rejected
7217,187954,469381,2025-04-21,defective,2,193.05,refunded
7218,29095,72715,2025-05-25,wrong_item,3,27.96,pending
7219,160501,400896,2024-09-24,damaged,2,95.4,refunded
7220,5917,14847,2025-01-03,defective,2,159.96,approved
7221,47616,118960,2024-02-17,not_as_described,3,134.69,rejected
7222,59731,149271,2024-10-26,defective,2,115.44,refunded
7223,110711,276819,2024-11-11,not_as_described,1,170.21,approved
7224,148632,371206,2025-02-13,changed_mind,1,21.8,refunded
7225,125383,313379,2024-07-28,wrong_item,3,137.52,approved
7226,191247,477567,2025-02-28,defective,2,34.23,approved
7227,62745,156857,2025-05-30,changed_mind,2,160.84,rejected
7228,80816,202021,2024-06-12,defective,1,164.61,rejected
7229,116069,290176,2025-09-04,wrong_item,3,190.49,pending
7230,76953,192334,2025-11-04,defective,3,120.21,pending
7231,68441,171072,2024-05-28,not_as_described,1,183.62,pending
7232,6323,15870,2025-01-17,not_as_described,3,57.43,rejected
7233,129461,323455,2025-11-15,damaged,2,82.87,pending
7234,127864,319427,2025-10-27,changed_mind,3,73.55,refunded
7235,157362,392996,2025-10-20,changed_mind,3,168.6,approved
7236,184059,459608,2024-05-05,changed_mind,1,118.66,pending
7237,14089,35173,2024-11-07,not_as_described,1,90.47,approved
7238,46992,117399,2026-01-07,wrong_item,3,180.53,refunded
7239,142895,356913,2024-01-17,damaged,1,159.42,refunded
7240,164231,410154,2025-06-28,damaged,3,6.34,pending
7241,110458,276204,2024-08-23,damaged,3,60.25,rejected
7242,1448,3655,2025-07-27,damaged,1,107.89,approved
7243,177356,442931,2025-03-07,defective,2,89.01,approved
7244,151009,377157,2025-05-01,defective,3,28.52,refunded
7245,91609,228889,2025-06-01,not_as_described,2,5.57,rejected
7246,144711,361490,2025-12-23,not_as_described,1,163.03,refunded
7247,48174,120341,2024-07-01,damaged,3,64.17,pending
7248,165674,413755,2025-05-12,not_as_described,3,34.12,approved
7249,104516,261298,2024-06-06,wrong_item,1,153.3,pending
7250,127045,317444,2025-05-29,wrong_item,3,146.75,pending
7251,175137,437321,2024-12-28,not_as_described,1,66.03,rejected
7252,128900,322056,2025-05-13,defective,2,123.97,pending
7253,124009,309908,2024-05-30,defective,3,90.94,pending
7254,162810,406630,2025-09-29,changed_mind,3,152.61,approved
7255,184166,459871,2024-07-05,damaged,3,106.42,rejected
7256,179249,447542,2024-12-30,wrong_item,3,41.66,approved
7257,195039,487122,2024-02-11,changed_mind,2,16.66,refunded
7258,151589,378569,2025-07-04,not_as_described,1,162.05,rejected
7259,120375,300857,2025-01-18,not_as_described,1,174.29,approved
7260,105963,264881,2024-02-18,wrong_item,3,62.81,pending
7261,190073,474629,2025-01-09,changed_mind,3,16.52,approved
7262,34121,85250,2024-06-25,damaged,3,33.34,pending
7263,59771,149373,2024-10-17,defective,2,133.51,rejected
7264,60673,151620,2024-03-14,defective,1,58.47,pending
7265,192950,481825,2025-08-14,not_as_described,2,50.13,rejected
7266,86228,215551,2024-04-02,wrong_item,2,175.3,pending
7267,85554,213861,2024-12-31,wrong_item,1,13.33,refunded
7268,176490,440778,2025-04-28,wrong_item,1,45.4,approved
7269,25668,64150,2025-11-22,wrong_item,2,183.95,refunded
7270,144508,361006,2025-03-09,defective,2,195.1,refunded
7271,188980,471931,2024-09-21,changed_mind,2,129.34,refunded
7272,83149,207915,2024-12-03,not_as_described,2,13.14,pending
7273,129246,322947,2024-10-04,wrong_item,3,11.98,rejected
7274,197726,493748,2025-10-09,wrong_item,1,185.63,approved
7275,86899,217220,2024-01-23,defective,3,138.02,rejected
7276,97935,244777,2025-09-04,wrong_item,3,68.87,pending
7277,145806,364203,2024-08-11,not_as_described,3,113.8,rejected
7278,100723,251836,2025-01-23,changed_mind,2,40.12,approved
7279,23597,59014,2025-01-15,wrong_item,1,100.43,pending
7280,168714,421344,2024-06-17,wrong_item,1,172.96,refunded
7281,48176,120347,2025-02-25,wrong_item,3,109.12,pending
7282,10794,26952,2024-02-23,not_as_described,2,193.46,refunded
7283,25887,64702,2025-12-06,damaged,1,15.82,rejected
7284,38715,96829,2024-10-24,defective,3,71.37,refunded
7285,114419,286112,2025-03-17,damaged,2,123.37,pending
7286,152212,380124,2025-11-09,wrong_item,2,22.28,rejected
7287,16219,40474,2024-10-30,defective,2,113.35,pending
7288,18646,46641,2025-01-27,not_as_described,3,32.83,approved
7289,118676,296668,2024-11-29,damaged,3,84.62,approved
7290,181623,453512,2025-04-15,defective,3,191.15,rejected
7291,95185,237805,2024-05-19,not_as_described,3,92.23,rejected
7292,194184,484913,2024-05-16,changed_mind,3,106.28,rejected
7293,125168,312842,2024-09-24,changed_mind,2,162.61,refunded
7294,106268,265641,2025-09-22,wrong_item,1,85.36,approved
7295,51749,129202,2024-04-25,changed_mind,2,23.38,rejected
7296,159312,397934,2025-09-29,wrong_item,2,60.6,pending
7297,36010,90021,2024-09-02,damaged,2,180.06,pending
7298,137071,342416,2024-12-11,not_as_described,3,53.43,pending
7299,114726,286877,2025-02-02,damaged,2,30.51,approved
7300,49154,122791,2025-06-06,damaged,2,42.23,pending
7301,46371,115824,2025-11-14,wrong_item,3,161.82,approved
7302,139002,347278,2024-02-07,changed_mind,1,132.88,pending
7303,102388,255981,2024-04-01,wrong_item,2,126.45,pending
7304,46854,117058,2024-06-29,changed_mind,3,20.99,rejected
7305,11040,27540,2025-02-01,not_as_described,2,71.79,refunded
7306,97827,244500,2025-03-05,not_as_described,1,48.95,pending
7307,198861,496561,2024-07-17,wrong_item,3,162.76,rejected
7308,59445,148558,2025-06-06,damaged,1,184.19,rejected
7309,74110,185235,2024-11-04,changed_mind,1,20.05,rejected
7310,14058,35097,2024-01-20,defective,3,145.33,rejected
7311,35019,87553,2024-08-05,damaged,2,86.75,approved
7312,124746,311747,2026-01-08,damaged,3,143.23,refunded
7313,161241,402711,2025-05-19,damaged,1,23.29,rejected
7314,142824,356739,2025-11-25,defective,2,54.45,approved
7315,90022,224986,2025-05-21,defective,3,18.74,rejected
7316,113433,283623,2025-12-28,damaged,2,99.71,refunded
7317,111323,278301,2024-10-24,not_as_described,1,23.29,pending
7318,155877,389366,2024-08-19,damaged,1,129.72,approved
7319,131498,328518,2025-03-15,not_as_described,1,44.57,rejected
7320,192354,480362,2024-11-19,wrong_item,3,55.19,pending
7321,4766,11960,2025-05-02,damaged,1,129.03,approved
7322,77400,193459,2024-04-09,damaged,2,31.87,pending
7323,20215,50566,2024-04-26,damaged,2,122.74,approved
7324,19879,49725,2024-05-07,damaged,2,63.29,approved
7325,110013,275108,2025-10-08,changed_mind,2,146.55,approved
7326,61467,153650,2025-09-22,not_as_described,3,136.42,approved
7327,75198,187968,2025-01-12,not_as_described,3,27.62,refunded
7328,68598,171443,2025-06-15,wrong_item,3,174.93,refunded
7329,120260,300604,2025-11-27,defective,2,7.74,pending
7330,95132,237666,2024-05-22,wrong_item,1,162.36,refunded
7331,170661,426143,2024-11-30,defective,3,60.42,pending
7332,111614,279024,2024-06-15,changed_mind,1,109.67,refunded
7333,53219,132862,2024-06-27,not_as_described,2,93.21,pending
7334,108210,270618,2024-04-21,damaged,1,124.92,approved
7335,43509,108722,2025-04-13,defective,3,21.02,refunded
7336,148111,369916,2025-01-11,changed_mind,2,131.86,refunded
7337,68714,171757,2024-11-09,wrong_item,1,51.84,approved
7338,84899,212261,2024-02-25,damaged,1,34.34,refunded
7339,146964,367070,2025-05-01,wrong_item,1,52.98,pending
7340,138874,346954,2025-01-22,wrong_item,1,190.46,approved
7341,119995,299948,2024-03-29,defective,2,62.45,rejected
7342,152354,380486,2025-10-02,changed_mind,1,116.64,approved
7343,14098,35194,2025-10-09,changed_mind,3,91.1,approved
7344,113519,283845,2024-04-04,not_as_described,3,68.16,approved
7345,133452,333362,2025-12-31,defective,2,87.34,rejected
7346,185337,462819,2025-01-29,changed_mind,1,112.47,refunded
7347,165078,412254,2024-08-12,not_as_described,3,10.0,refunded
7348,170627,426052,2024-09-29,wrong_item,2,185.04,rejected
7349,32789,81966,2025-10-30,changed_mind,2,171.32,rejected
7350,53596,133806,2025-01-28,not_as_described,3,51.27,rejected
7351,195475,488224,2024-07-04,defective,3,184.59,refunded
7352,119238,298089,2025-11-27,damaged,2,140.54,refunded
7353,51005,127370,2024-02-13,wrong_item,3,194.66,approved
7354,150595,376132,2025-08-20,wrong_item,3,142.2,approved
7355,68277,170663,2024-08-23,defective,1,115.9,pending
7356,26860,67112,2026-01-08,not_as_described,3,61.18,approved
7357,142419,355722,2025-09-06,damaged,3,89.45,refunded
7358,57422,143489,2025-09-08,changed_mind,3,121.97,approved
7359,74275,185651,2024-08-29,wrong_item,1,128.11,rejected
7360,195502,488274,2024-09-15,changed_mind,1,59.6,rejected
7361,181604,453464,2025-10-09,damaged,2,146.03,refunded
7362,65177,162906,2025-02-17,not_as_described,1,144.31,pending
7363,104321,260788,2025-10-08,damaged,3,178.5,refunded
7364,60159,150322,2025-05-05,changed_mind,3,83.23,pending
7365,145287,362930,2025-07-04,damaged,2,66.82,refunded
7366,27403,68502,2024-05-27,damaged,2,95.32,rejected
7367,134097,334996,2024-12-14,damaged,3,59.55,rejected
7368,118718,296779,2025-10-08,defective,1,48.25,approved
7369,5128,12859,2025-02-06,wrong_item,3,98.28,refunded
7370,178127,444805,2025-05-20,damaged,1,192.9,pending
7371,127232,317896,2024-06-30,damaged,2,131.77,pending
7372,111326,278306,2025-11-29,not_as_described,3,157.41,pending
7373,184324,460288,2024-08-11,defective,3,85.24,pending
7374,31923,79797,2025-07-26,not_as_described,1,55.89,approved
7375,31509,78761,2024-08-18,changed_mind,2,50.35,pending
7376,10411,26043,2024-08-06,changed_mind,3,50.56,approved
7377,95425,238405,2025-10-20,changed_mind,1,107.12,rejected
7378,13264,33067,2025-03-03,changed_mind,3,74.85,approved
7379,36420,91059,2024-12-03,changed_mind,1,57.69,approved
7380,19873,49713,2025-12-29,changed_mind,2,168.24,approved
7381,151999,379582,2025-09-12,damaged,3,52.24,pending
7382,123419,308445,2025-12-17,not_as_described,1,174.53,approved
7383,161457,403223,2024-02-08,damaged,2,63.52,approved
7384,149079,372318,2024-11-07,wrong_item,1,9.33,approved
7385,92487,231080,2024-04-04,wrong_item,2,196.78,pending
7386,39405,98555,2025-03-22,damaged,2,108.73,refunded
7387,153489,383326,2024-01-29,defective,1,102.14,approved
7388,169101,422289,2024-09-01,wrong_item,3,181.89,refunded
7389,69828,174584,2026-01-20,not_as_described,3,49.75,refunded
7390,52582,131272,2025-06-10,wrong_item,2,114.68,rejected
7391,130526,326079,2024-11-05,wrong_item,1,33.77,pending
7392,178131,444819,2025-04-27,defective,2,168.1,approved
7393,144182,360191,2025-10-01,changed_mind,2,113.89,refunded
7394,102869,257199,2025-12-26,defective,3,6.87,approved
7395,165321,412846,2024-03-20,wrong_item,2,47.89,rejected
7396,10110,25297,2025-09-22,not_as_described,2,76.48,approved
7397,69160,172886,2024-08-07,changed_mind,3,115.32,pending
7398,85693,214186,2025-11-16,wrong_item,2,45.43,rejected
7399,38870,97239,2025-10-26,changed_mind,1,138.57,approved
7400,9161,22931,2024-11-12,defective,3,29.63,refunded
7401,42627,106579,2025-06-02,not_as_described,2,113.99,refunded
7402,128747,321685,2025-12-13,damaged,1,29.42,rejected
7403,99677,249154,2024-09-20,not_as_described,3,115.63,refunded
7404,185241,462577,2025-03-09,wrong_item,1,43.86,approved
7405,38592,96520,2025-06-23,wrong_item,2,148.69,approved
7406,98052,245084,2024-12-26,damaged,1,182.18,approved
7407,153808,384154,2024-03-14,not_as_described,3,30.81,refunded
7408,108662,271727,2025-09-17,damaged,2,199.86,refunded
7409,70116,175328,2025-05-26,wrong_item,3,32.56,pending
7410,9754,24412,2025-06-20,wrong_item,2,99.27,pending
7411,34719,86765,2024-07-28,changed_mind,3,58.3,pending
7412,156503,390869,2025-12-03,changed_mind,3,93.83,approved
7413,95460,238491,2025-03-18,changed_mind,1,163.88,pending
7414,156407,390663,2025-07-23,changed_mind,3,185.72,refunded
7415,15638,39019,2024-08-12,changed_mind,3,29.18,refunded
7416,116444,291109,2024-11-13,changed_mind,3,155.55,approved
7417,96564,241260,2024-01-22,wrong_item,2,33.57,refunded
7418,146806,366690,2024-09-13,changed_mind,2,10.85,approved
7419,30754,76843,2025-12-04,damaged,3,128.86,pending
7420,26351,65848,2024-11-25,damaged,1,27.88,approved
7421,105079,262686,2024-11-09,wrong_item,1,149.46,pending
7422,50409,125859,2024-11-09,wrong_item,1,148.33,refunded
7423,24716,61819,2025-03-22,not_as_described,3,30.68,approved
7424,123912,309685,2025-11-08,damaged,1,176.22,refunded
7425,197290,492692,2025-09-02,not_as_described,2,76.29,refunded
7426,96909,242183,2025-02-19,wrong_item,2,138.24,refunded
7427,186971,466960,2025-01-09,damaged,3,118.21,refunded
7428,175709,438758,2024-02-02,wrong_item,2,158.71,refunded
7429,173095,432250,2025-08-21,changed_mind,1,186.92,rejected
7430,182696,456207,2024-10-17,not_as_described,2,42.91,approved
7431,160729,401448,2025-02-11,damaged,2,81.28,refunded
7432,180127,449759,2024-11-14,changed_mind,2,170.34,refunded
7433,194306,485224,2025-09-29,defective,1,165.03,rejected
7434,150849,376774,2025-01-01,defective,3,63.74,approved
7435,198891,496635,2024-05-25,defective,3,80.05,rejected
7436,48015,119962,2025-05-13,wrong_item,1,92.12,pending
7437,32520,81300,2024-10-01,defective,3,151.23,rejected
7438,156557,390998,2025-04-22,damaged,2,150.64,pending
7439,96243,240435,2025-12-26,wrong_item,3,120.42,pending
7440,50673,126538,2024-08-01,damaged,2,120.73,rejected
7441,156202,390140,2025-09-29,damaged,2,117.44,rejected
7442,150610,376172,2025-03-04,damaged,1,23.72,pending
7443,118177,295440,2025-12-06,damaged,2,159.75,rejected
7444,42789,106967,2024-12-03,damaged,2,191.87,approved
7445,56760,141795,2025-10-25,damaged,2,195.77,rejected
7446,189795,473953,2024-04-04,changed_mind,1,31.38,pending
7447,131384,328239,2024-05-06,changed_mind,2,99.79,refunded
7448,182478,455668,2024-11-23,wrong_item,2,91.74,approved
7449,170590,425955,2025-01-22,wrong_item,2,35.5,rejected
7450,122358,305812,2024-12-27,changed_mind,3,47.88,rejected
7451,108005,270102,2024-10-14,not_as_described,3,134.27,pending
7452,85842,214576,2024-05-13,wrong_item,3,65.56,rejected
7453,104149,260354,2024-08-01,damaged,1,180.08,refunded
7454,84812,212057,2024-10-16,wrong_item,1,29.79,approved
7455,108502,271351,2026-01-13,not_as_described,3,181.5,approved
