cost_date,category,region,amount
2024-01-16,packaging,apac,81.67
2024-01-16,packaging,latam,71.07
2024-01-16,payment_processing_fees,global,1409.44
2024-01-16,customer_support_tooling,global,528.9
2024-01-16,insurance,global,367.22
2024-01-17,rent,global,1831.17
2024-01-17,software_licenses,global,1004.12
2024-01-17,logistics,us,2029.47
2024-01-17,logistics,eu,687.14
2024-01-17,logistics,apac,287.01
2024-01-17,logistics,latam,309.05
2024-01-17,packaging,us,437.54
2024-01-17,packaging,eu,184.83
2024-01-17,packaging,apac,69.15
2024-01-17,packaging,latam,64.86
2024-01-17,payment_processing_fees,global,1429.27
2024-01-17,customer_support_tooling,global,493.78
2024-01-17,insurance,global,390.99
2024-01-18,rent,global,1789.92
2024-01-18,software_licenses,global,1156.09
2024-01-18,logistics,us,1849.51
2024-01-18,logistics,eu,766.71
2024-01-18,logistics,apac,309.57
2024-01-18,logistics,latam,274.35
2024-01-18,packaging,us,413.83
2024-01-18,packaging,eu,163.44
2024-01-18,packaging,apac,83.32
2024-01-18,packaging,latam,77.02
2024-01-18,payment_processing_fees,global,1509.49
2024-01-18,customer_support_tooling,global,526.57
2024-01-18,insurance,global,364.53
2024-01-19,rent,global,1827.52
2024-01-19,software_licenses,global,1162.27
2024-01-19,logistics,us,1669.88
2024-01-19,logistics,eu,730.81
2024-01-19,logistics,apac,339.79
2024-01-19,logistics,latam,278.94
2024-01-19,packaging,us,426.04
2024-01-19,packaging,eu,186.47
2024-01-19,packaging,apac,80.14
2024-01-19,packaging,latam,71.77
2024-01-19,payment_processing_fees,global,1429.57
2024-01-19,customer_support_tooling,global,522.48
2024-01-19,insurance,global,363.96
2024-01-20,rent,global,1873.99
2024-01-20,software_licenses,global,1096.68
2024-01-20,logistics,us,1755.31
2024-01-20,logistics,eu,781.59
2024-01-20,logistics,apac,320.92
2024-01-20,logistics,latam,291.14
2024-01-20,packaging,us,400.28
2024-01-20,packaging,eu,183.19
2024-01-20,packaging,apac,85.97
2024-01-20,packaging,latam,68.54
2024-01-20,payment_processing_fees,global,1524.15
2024-01-20,customer_support_tooling,global,545.14
2024-01-20,insurance,global,377.71
2024-01-21,rent,global,1733.36
2024-01-21,software_licenses,global,1148.5
2024-01-21,logistics,us,1774.55
2024-01-21,logistics,eu,655.49
2024-01-21,logistics,apac,306.69
2024-01-21,logistics,latam,260.5
2024-01-21,packaging,us,410.16
2024-01-21,packaging,eu,181.67
2024-01-21,packaging,apac,70.87
2024-01-21,packaging,latam,66.64
2024-01-21,payment_processing_fees,global,1412.22
2024-01-21,customer_support_tooling,global,518.59
2024-01-21,insurance,global,378.43
2024-01-22,rent,global,1900.67
2024-01-22,software_licenses,global,1142.28
2024-01-22,logistics,us,1700.04
2024-01-22,logistics,eu,692.85
2024-01-22,logistics,apac,310.05
2024-01-22,logistics,latam,280.54
2024-01-22,packaging,us,401.58
2024-01-22,packaging,eu,162.47
2024-01-22,packaging,apac,77.71
2024-01-22,packaging,latam,76.46
2024-01-22,payment_processing_fees,global,1424.62
2024-01-22,customer_support_tooling,global,540.68
2024-01-22,insurance,global,401.26
2024-01-23,rent,global,1844.23
2024-01-23,software_licenses,global,1077.75
2024-01-23,logistics,us,1888.1
2024-01-23,logistics,eu,767.29
2024-01-23,logistics,apac,335.65
2024-01-23,logistics,latam,229.57
2024-01-23,packaging,us,390.18
2024-01-23,packaging,eu,225.03
2024-01-23,packaging,apac,77.82
2024-01-23,packaging,latam,70.57
2024-01-23,payment_processing_fees,global,1450.0
2024-01-23,customer_support_tooling,global,566.78
2024-01-23,insurance,global,383.26
2024-01-24,rent,global,1788.65
2024-01-24,software_licenses,global,1144.02
2024-01-24,logistics,us,1650.29
2024-01-24,logistics,eu,698.71
2024-01-24,logistics,apac,291.17
2024-01-24,logistics,latam,284.95
2024-01-24,packaging,us,460.89
2024-01-24,packaging,eu,173.61
2024-01-24,packaging,apac,98.07
2024-01-24,packaging,latam,65.88
2024-01-24,payment_processing_fees,global,1338.02
2024-01-24,customer_support_tooling,global,529.05
2024-01-24,insurance,global,384.87
2024-01-25,rent,global,1837.38
2024-01-25,software_licenses,global,1119.27
2024-01-25,logistics,us,1817.44
2024-01-25,logistics,eu,744.05
2024-01-25,logistics,apac,344.85
2024-01-25,logistics,latam,308.7
2024-01-25,packaging,us,423.63
2024-01-25,packaging,eu,178.92
2024-01-25,packaging,apac,89.5
2024-01-25,packaging,latam,69.33
2024-01-25,payment_processing_fees,global,1328.25
2024-01-25,customer_support_tooling,global,567.89
2024-01-25,insurance,global,412.25
2024-01-26,rent,global,1727.39
2024-01-26,software_licenses,global,1112.28
2024-01-26,logistics,us,1556.4
2024-01-26,logistics,eu,744.12
2024-01-26,logistics,apac,308.93
2024-01-26,logistics,latam,295.56
2024-01-26,packaging,us,471.28
2024-01-26,packaging,eu,180.39
2024-01-26,packaging,apac,79.57
2024-01-26,packaging,latam,63.86
2024-01-26,payment_processing_fees,global,1437.27
2024-01-26,customer_support_tooling,global,573.06
2024-01-26,insurance,global,356.26
2024-01-27,rent,global,1825.03
2024-01-27,software_licenses,global,1092.16
2024-01-27,logistics,us,1766.0
2024-01-27,logistics,eu,761.47
2024-01-27,logistics,apac,308.42
2024-01-27,logistics,latam,299.98
2024-01-27,packaging,us,445.37
2024-01-27,packaging,eu,186.27
2024-01-27,packaging,apac,74.37
2024-01-27,packaging,latam,71.56
2024-01-27,payment_processing_fees,global,1497.53
2024-01-27,customer_support_tooling,global,541.48
2024-01-27,insurance,global,360.42
2024-01-28,rent,global,1868.21
2024-01-28,software_licenses,global,1079.01
2024-01-28,logistics,us,1941.18
2024-01-28,logistics,eu,796.23
2024-01-28,logistics,apac,315.46
2024-01-28,logistics,latam,326.17
2024-01-28,packaging,us,437.45
2024-01-28,packaging,eu,181.57
2024-01-28,packaging,apac,78.06
2024-01-28,packaging,latam,70.68
2024-01-28,payment_processing_fees,global,1445.59
2024-01-28,customer_support_tooling,global,525.93
2024-01-28,insurance,global,404.05
2024-01-29,rent,global,1712.45
2024-01-29,software_licenses,global,1147.87
2024-01-29,logistics,us,1630.91
2024-01-29,logistics,eu,722.53
2024-01-29,logistics,apac,309.63
2024-01-29,logistics,latam,270.27
2024-01-29,packaging,us,439.99
2024-01-29,packaging,eu,189.5
2024-01-29,packaging,apac,82.96
2024-01-29,packaging,latam,71.51
2024-01-29,payment_processing_fees,global,1394.59
2024-01-29,customer_support_tooling,global,486.62
2024-01-29,insurance,global,389.89
2024-01-30,rent,global,2013.65
2024-01-30,software_licenses,global,1118.62
2024-01-30,logistics,us,1787.27
2024-01-30,logistics,eu,797.67
2024-01-30,logistics,apac,283.01
2024-01-30,logistics,latam,294.19
2024-01-30,packaging,us,420.28
2024-01-30,packaging,eu,176.65
2024-01-30,packaging,apac,82.2
2024-01-30,packaging,latam,68.5
2024-01-30,payment_processing_fees,global,1564.57
2024-01-30,customer_support_tooling,global,486.38
2024-01-30,insurance,global,391.4
2024-01-31,rent,global,2121.92
2024-01-31,software_licenses,global,1112.11
2024-01-31,logistics,us,2040.24
2024-01-31,logistics,eu,680.13
2024-01-31,logistics,apac,316.85
2024-01-31,logistics,latam,274.63
2024-01-31,packaging,us,483.13
2024-01-31,packaging,eu,168.89
2024-01-31,packaging,apac,82.95
2024-01-31,packaging,latam,68.78
2024-01-31,payment_processing_fees,global,1419.55
2024-01-31,customer_support_tooling,global,534.69
2024-01-31,insurance,global,335.72
2024-02-01,rent,global,1970.73
2024-02-01,software_licenses,global,1091.0
2024-02-01,logistics,us,1481.43
2024-02-01,logistics,eu,751.72
2024-02-01,logistics,apac,360.31
2024-02-01,logistics,latam,260.76
2024-02-01,packaging,us,384.87
2024-02-01,packaging,eu,188.88
2024-02-01,packaging,apac,77.6
2024-02-01,packaging,latam,68.97
2024-02-01,payment_processing_fees,global,1560.01
2024-02-01,customer_support_tooling,global,555.41
2024-02-01,insurance,global,394.32
2024-02-02,rent,global,1820.95
2024-02-02,software_licenses,global,1118.34
2024-02-02,logistics,us,1822.01
2024-02-02,logistics,eu,682.47
2024-02-02,logistics,apac,341.78
2024-02-02,logistics,latam,321.95
2024-02-02,packaging,us,405.71
2024-02-02,packaging,eu,208.09
2024-02-02,packaging,apac,85.86
2024-02-02,packaging,latam,71.72
2024-02-02,payment_processing_fees,global,1283.63
2024-02-02,customer_support_tooling,global,532.7
2024-02-02,insurance,global,381.64
2024-02-03,rent,global,1990.56
2024-02-03,software_licenses,global,1078.9
2024-02-03,logistics,us,1758.06
2024-02-03,logistics,eu,710.07
2024-02-03,logistics,apac,317.25
2024-02-03,logistics,latam,268.8
2024-02-03,packaging,us,392.99
2024-02-03,packaging,eu,173.46
2024-02-03,packaging,apac,85.36
2024-02-03,packaging,latam,67.96
2024-02-03,payment_processing_fees,global,1576.04
2024-02-03,customer_support_tooling,global,549.28
2024-02-03,insurance,global,380.16
2024-02-04,rent,global,1759.99
2024-02-04,software_licenses,global,1102.15
2024-02-04,logistics,us,1852.79
2024-02-04,logistics,eu,758.4
2024-02-04,logistics,apac,348.57
2024-02-04,logistics,latam,302.01
2024-02-04,packaging,us,398.18
2024-02-04,packaging,eu,183.15
2024-02-04,packaging,apac,75.87
2024-02-04,packaging,latam,77.48
2024-02-04,payment_processing_fees,global,1381.51
2024-02-04,customer_support_tooling,global,527.59
2024-02-04,insurance,global,392.99
2024-02-05,rent,global,1710.93
2024-02-05,software_licenses,global,1110.51
2024-02-05,logistics,us,1676.9
2024-02-05,logistics,eu,785.22
2024-02-05,logistics,apac,332.92
2024-02-05,logistics,latam,274.97
2024-02-05,packaging,us,432.51
2024-02-05,packaging,eu,182.03
2024-02-05,packaging,apac,86.82
2024-02-05,packaging,latam,68.4
2024-02-05,payment_processing_fees,global,1605.1
2024-02-05,customer_support_tooling,global,517.61
2024-02-05,insurance,global,371.11
2024-02-06,rent,global,1876.59
2024-02-06,software_licenses,global,1080.37
2024-02-06,logistics,us,1763.76
2024-02-06,logistics,eu,787.74
2024-02-06,logistics,apac,353.52
2024-02-06,logistics,latam,272.16
2024-02-06,packaging,us,428.25
2024-02-06,packaging,eu,198.14
2024-02-06,packaging,apac,89.61
2024-02-06,packaging,latam,73.03
2024-02-06,payment_processing_fees,global,1558.43
2024-02-06,customer_support_tooling,global,545.02
2024-02-06,insurance,global,385.62
2024-02-07,rent,global,1853.18
2024-02-07,software_licenses,global,1098.26
2024-02-07,logistics,us,1824.15
2024-02-07,logistics,eu,823.09
2024-02-07,logistics,apac,323.64
2024-02-07,logistics,latam,290.21
2024-02-07,packaging,us,429.88
2024-02-07,packaging,eu,193.55
2024-02-07,packaging,apac,77.84
2024-02-07,packaging,latam,66.15
2024-02-07,payment_processing_fees,global,1489.7
2024-02-07,customer_support_tooling,global,487.54
2024-02-07,insurance,global,364.55
2024-02-08,rent,global,1794.76
2024-02-08,software_licenses,global,1118.45
2024-02-08,logistics,us,1643.96
2024-02-08,logistics,eu,801.02
2024-02-08,logistics,apac,319.42
2024-02-08,logistics,latam,271.61
2024-02-08,packaging,us,406.82
2024-02-08,packaging,eu,186.65
2024-02-08,packaging,apac,90.42
2024-02-08,packaging,latam,64.29
2024-02-08,payment_processing_fees,global,1653.64
2024-02-08,customer_support_tooling,global,534.05
2024-02-08,insurance,global,343.86
2024-02-09,rent,global,1736.57
2024-02-09,software_licenses,global,1193.01
2024-02-09,logistics,us,1829.74
2024-02-09,logistics,eu,789.72
2024-02-09,logistics,apac,315.55
2024-02-09,logistics,latam,264.38
2024-02-09,packaging,us,412.13
2024-02-09,packaging,eu,178.89
2024-02-09,packaging,apac,89.83
2024-02-09,packaging,latam,61.03
2024-02-09,payment_processing_fees,global,1384.18
2024-02-09,customer_support_tooling,global,496.42
2024-02-09,insurance,global,394.4
2024-02-10,rent,global,1855.99
2024-02-10,software_licenses,global,1092.78
2024-02-10,logistics,us,1674.57
2024-02-10,logistics,eu,761.87
2024-02-10,logistics,apac,318.21
2024-02-10,logistics,latam,268.17
2024-02-10,packaging,us,435.09
2024-02-10,packaging,eu,182.5
2024-02-10,packaging,apac,80.77
2024-02-10,packaging,latam,74.44
2024-02-10,payment_processing_fees,global,1456.11
2024-02-10,customer_support_tooling,global,525.64
2024-02-10,insurance,global,380.89
2024-02-11,rent,global,1717.85
2024-02-11,software_licenses,global,993.7
2024-02-11,logistics,us,1751.51
2024-02-11,logistics,eu,729.37
2024-02-11,logistics,apac,329.62
2024-02-11,logistics,latam,286.93
2024-02-11,packaging,us,387.98
2024-02-11,packaging,eu,190.49
2024-02-11,packaging,apac,71.98
2024-02-11,packaging,latam,69.37
2024-02-11,payment_processing_fees,global,1536.61
2024-02-11,customer_support_tooling,global,520.55
2024-02-11,insurance,global,399.25
2024-02-12,rent,global,1892.91
2024-02-12,software_licenses,global,1116.65
2024-02-12,logistics,us,2035.48
2024-02-12,logistics,eu,758.1
2024-02-12,logistics,apac,333.1
2024-02-12,logistics,latam,274.3
2024-02-12,packaging,us,469.09
2024-02-12,packaging,eu,182.47
2024-02-12,packaging,apac,85.85
2024-02-12,packaging,latam,65.52
2024-02-12,payment_processing_fees,global,1411.45
2024-02-12,customer_support_tooling,global,555.4
2024-02-12,insurance,global,354.23
2024-02-13,rent,global,1891.92
2024-02-13,software_licenses,global,1129.58
2024-02-13,logistics,us,1804.02
2024-02-13,logistics,eu,788.85
2024-02-13,logistics,apac,335.65
2024-02-13,logistics,latam,264.03
2024-02-13,packaging,us,462.91
2024-02-13,packaging,eu,151.08
2024-02-13,packaging,apac,83.52
2024-02-13,packaging,latam,74.78
2024-02-13,payment_processing_fees,global,1572.86
2024-02-13,customer_support_tooling,global,503.07
2024-02-13,insurance,global,402.43
2024-02-14,rent,global,1938.56
2024-02-14,software_licenses,global,1155.06
2024-02-14,logistics,us,1888.88
2024-02-14,logistics,eu,706.1
2024-02-14,logistics,apac,356.14
2024-02-14,logistics,latam,283.53
2024-02-14,packaging,us,447.89
2024-02-14,packaging,eu,153.46
2024-02-14,packaging,apac,69.68
2024-02-14,packaging,latam,59.15
2024-02-14,payment_processing_fees,global,1278.35
2024-02-14,customer_support_tooling,global,562.02
2024-02-14,insurance,global,419.34
2024-02-15,rent,global,1791.84
2024-02-15,software_licenses,global,1088.54
2024-02-15,logistics,us,1820.51
2024-02-15,logistics,eu,710.16
2024-02-15,logistics,apac,359.05
2024-02-15,logistics,latam,238.85
2024-02-15,packaging,us,438.47
2024-02-15,packaging,eu,194.86
2024-02-15,packaging,apac,89.54
2024-02-15,packaging,latam,60.3
2024-02-15,payment_processing_fees,global,1503.59
2024-02-15,customer_support_tooling,global,476.81
2024-02-15,insurance,global,375.05
2024-02-16,rent,global,1799.27
2024-02-16,software_licenses,global,1158.38
2024-02-16,logistics,us,1876.53
2024-02-16,logistics,eu,645.85
2024-02-16,logistics,apac,324.83
2024-02-16,logistics,latam,280.14
2024-02-16,packaging,us,428.13
2024-02-16,packaging,eu,184.97
2024-02-16,packaging,apac,71.04
2024-02-16,packaging,latam,69.99
2024-02-16,payment_processing_fees,global,1404.64
2024-02-16,customer_support_tooling,global,602.61
2024-02-16,insurance,global,366.73
2024-02-17,rent,global,1692.8
2024-02-17,software_licenses,global,1122.8
2024-02-17,logistics,us,1823.57
2024-02-17,logistics,eu,692.75
2024-02-17,logistics,apac,329.51
2024-02-17,logistics,latam,251.45
2024-02-17,packaging,us,427.13
2024-02-17,packaging,eu,182.99
2024-02-17,packaging,apac,82.01
2024-02-17,packaging,latam,71.04
2024-02-17,payment_processing_fees,global,1399.22
2024-02-17,customer_support_tooling,global,546.22
2024-02-17,insurance,global,383.75
2024-02-18,rent,global,1868.39
2024-02-18,software_licenses,global,1168.6
2024-02-18,logistics,us,1854.78
2024-02-18,logistics,eu,753.14
2024-02-18,logistics,apac,338.68
2024-02-18,logistics,latam,252.07
2024-02-18,packaging,us,398.69
2024-02-18,packaging,eu,166.42
2024-02-18,packaging,apac,90.46
2024-02-18,packaging,latam,79.07
2024-02-18,payment_processing_fees,global,1477.87
2024-02-18,customer_support_tooling,global,524.16
2024-02-18,insurance,global,359.19
2024-02-19,rent,global,1792.75
2024-02-19,software_licenses,global,1130.34
2024-02-19,logistics,us,1564.05
2024-02-19,logistics,eu,839.93
2024-02-19,logistics,apac,349.37
2024-02-19,logistics,latam,242.18
2024-02-19,packaging,us,444.4
2024-02-19,packaging,eu,178.82
2024-02-19,packaging,apac,74.24
2024-02-19,packaging,latam,73.2
2024-02-19,payment_processing_fees,global,1568.57
2024-02-19,customer_support_tooling,global,492.79
2024-02-19,insurance,global,388.77
2024-02-20,rent,global,1865.53
2024-02-20,software_licenses,global,1024.98
2024-02-20,logistics,us,1596.1
2024-02-20,logistics,eu,769.8
2024-02-20,logistics,apac,323.67
2024-02-20,logistics,latam,290.03
2024-02-20,packaging,us,441.91
2024-02-20,packaging,eu,188.77
2024-02-20,packaging,apac,79.51
2024-02-20,packaging,latam,80.09
2024-02-20,payment_processing_fees,global,1340.38
2024-02-20,customer_support_tooling,global,513.44
2024-02-20,insurance,global,344.29
2024-02-21,rent,global,1826.42
2024-02-21,software_licenses,global,1151.27
2024-02-21,logistics,us,1761.59
2024-02-21,logistics,eu,724.02
2024-02-21,logistics,apac,342.98
2024-02-21,logistics,latam,294.8
2024-02-21,packaging,us,419.16
2024-02-21,packaging,eu,185.34
2024-02-21,packaging,apac,68.63
2024-02-21,packaging,latam,66.09
2024-02-21,payment_processing_fees,global,1472.54
2024-02-21,customer_support_tooling,global,507.9
2024-02-21,insurance,global,378.53
2024-02-22,rent,global,1931.99
2024-02-22,software_licenses,global,1189.35
2024-02-22,logistics,us,1561.94
2024-02-22,logistics,eu,745.25
2024-02-22,logistics,apac,339.11
2024-02-22,logistics,latam,299.3
2024-02-22,packaging,us,479.18
2024-02-22,packaging,eu,186.89
2024-02-22,packaging,apac,88.27
2024-02-22,packaging,latam,75.47
2024-02-22,payment_processing_fees,global,1543.93
2024-02-22,customer_support_tooling,global,492.45
2024-02-22,insurance,global,390.65
2024-02-23,rent,global,1991.36
2024-02-23,software_licenses,global,1054.74
2024-02-23,logistics,us,1805.94
2024-02-23,logistics,eu,809.43
2024-02-23,logistics,apac,336.9
2024-02-23,logistics,latam,285.7
2024-02-23,packaging,us,445.74
2024-02-23,packaging,eu,204.28
2024-02-23,packaging,apac,84.13
2024-02-23,packaging,latam,74.79
2024-02-23,payment_processing_fees,global,1592.01
2024-02-23,customer_support_tooling,global,547.89
2024-02-23,insurance,global,352.23
2024-02-24,rent,global,1794.97
2024-02-24,software_licenses,global,1076.21
2024-02-24,logistics,us,1761.24
2024-02-24,logistics,eu,776.08
2024-02-24,logistics,apac,302.87
2024-02-24,logistics,latam,297.58
2024-02-24,packaging,us,417.14
2024-02-24,packaging,eu,203.06
2024-02-24,packaging,apac,74.74
2024-02-24,packaging,latam,64.83
2024-02-24,payment_processing_fees,global,1494.69
2024-02-24,customer_support_tooling,global,530.07
2024-02-24,insurance,global,386.93
2024-02-25,rent,global,1826.52
2024-02-25,software_licenses,global,1084.48
2024-02-25,logistics,us,1681.28
2024-02-25,logistics,eu,643.92
2024-02-25,logistics,apac,307.0
2024-02-25,logistics,latam,270.57
2024-02-25,packaging,us,435.31
2024-02-25,packaging,eu,160.84
2024-02-25,packaging,apac,76.3
2024-02-25,packaging,latam,70.39
2024-02-25,payment_processing_fees,global,1495.63
2024-02-25,customer_support_tooling,global,550.27
2024-02-25,insurance,global,402.04
2024-02-26,rent,global,1687.58
2024-02-26,software_licenses,global,1131.09
2024-02-26,logistics,us,1774.33
2024-02-26,logistics,eu,868.07
2024-02-26,logistics,apac,359.14
2024-02-26,logistics,latam,279.41
2024-02-26,packaging,us,436.89
2024-02-26,packaging,eu,176.79
2024-02-26,packaging,apac,86.12
2024-02-26,packaging,latam,55.46
2024-02-26,payment_processing_fees,global,1495.58
2024-02-26,customer_support_tooling,global,486.36
2024-02-26,insurance,global,357.84
2024-02-27,rent,global,1781.06
2024-02-27,software_licenses,global,1249.57
2024-02-27,logistics,us,1699.49
2024-02-27,logistics,eu,722.59
2024-02-27,logistics,apac,272.47
2024-02-27,logistics,latam,289.96
2024-02-27,packaging,us,435.51
2024-02-27,packaging,eu,161.91
2024-02-27,packaging,apac,80.89
2024-02-27,packaging,latam,72.56
