check_id,location_id,check_date,daypart,party_size,total_amount,tax_amount,server_id,order_channel,table_section,discount_amount
700047,16,2025-11-18,dinner,2,90.0,7.87,5236,catering,main,0.0
700048,6,2026-02-09,dinner,5,230.0,20.12,5083,catering,patio,0.0
700049,5,2026-03-15,dinner,1,67.0,5.86,5072,delivery,patio,12.06
700050,15,2026-05-12,dinner,2,115.0,10.06,5224,dine_in,bar,0.0
700051,10,2026-02-26,lunch,2,132.5,11.59,5148,dine_in,main,0.0
700052,20,2025-09-14,dinner,2,85.5,7.48,5299,dine_in,main,0.0
700053,15,2025-12-12,late_night,4,201.5,17.63,5218,takeout,patio,0.0
700054,8,2026-05-04,lunch,1,110.5,9.67,5111,dine_in,bar,0.0
700055,12,2026-07-12,dinner,4,224.5,19.64,5176,delivery,bar,40.41
700056,13,2025-08-14,dinner,2,73.5,6.43,5194,dine_in,main,0.0
700057,9,2026-07-08,dinner,2,100.5,8.79,5132,dine_in,main,0.0
700058,22,2025-06-29,lunch,2,96.5,8.44,5321,kiosk,main,0.0
700059,2,2025-09-12,dinner,2,106.5,9.32,5027,dine_in,patio,0.0
700060,10,2025-11-21,dinner,2,109.0,9.54,5144,dine_in,patio,0.0
700061,18,2025-07-10,lunch,2,122.0,10.67,5260,takeout,main,0.0
700062,9,2026-02-05,dinner,6,201.5,17.63,5123,takeout,patio,0.0
700063,14,2026-02-17,dinner,1,62.5,5.47,5210,dine_in,patio,0.0
700064,6,2026-02-14,lunch,6,354.0,30.97,5089,dine_in,main,0.0
700065,5,2026-06-08,late_night,3,138.5,12.12,5073,catering,main,0.0
700066,15,2026-03-31,lunch,2,107.0,9.36,5212,catering,main,0.0
700067,4,2025-11-19,lunch,2,134.0,11.72,5054,takeout,patio,0.0
700068,17,2025-07-17,lunch,4,227.5,19.91,5241,dine_in,main,0.0
700069,2,2026-07-05,dinner,1,34.0,2.97,5021,takeout,main,0.0
700070,22,2026-05-25,dinner,3,188.5,16.49,5322,dine_in,patio,0.0
700071,18,2025-08-21,dinner,3,185.5,16.23,5259,dine_in,main,0.0
700072,6,2025-08-19,dinner,4,311.5,27.26,5078,takeout,main,0.0
700073,2,2026-05-22,lunch,1,60.5,5.29,5017,dine_in,patio,0.0
700074,11,2026-04-30,dinner,4,266.5,23.32,5157,dine_in,main,0.0
700075,9,2026-04-10,lunch,1,64.0,5.6,5123,takeout,main,0.0
700076,8,2025-12-08,lunch,3,230.5,20.17,5116,takeout,main,0.0
700077,6,2025-07-31,late_night,2,141.0,12.34,5085,dine_in,patio,0.0
700078,9,2026-05-17,dinner,2,129.0,11.29,5127,delivery,main,23.22
700079,13,2025-12-19,dinner,2,118.5,10.37,5195,takeout,patio,0.0
700080,17,2026-01-28,late_night,5,236.0,20.65,5242,delivery,main,42.48
700081,2,2026-07-12,dinner,4,247.5,21.66,5022,dine_in,patio,0.0
700082,15,2025-09-21,dinner,2,79.5,6.96,5212,delivery,patio,14.31
700083,19,2025-12-14,late_night,3,226.5,19.82,5279,dine_in,main,0.0
700084,17,2026-01-25,lunch,2,99.0,8.66,5246,dine_in,main,4.95
700085,14,2026-02-01,dinner,4,162.0,14.17,5203,dine_in,main,0.0
700086,2,2025-10-10,dinner,3,147.5,12.91,5023,dine_in,main,0.0
700087,14,2025-07-28,lunch,2,114.0,9.97,5198,takeout,bar,0.0
700088,5,2026-03-05,dinner,4,179.0,15.66,5062,delivery,main,32.22
700089,6,2026-03-30,dinner,2,138.5,12.12,5080,delivery,main,24.93
700090,12,2025-10-23,dinner,4,244.5,21.39,5169,dine_in,patio,0.0
700091,19,2025-10-28,lunch,2,137.0,11.99,5285,dine_in,main,0.0
700092,5,2025-10-26,dinner,1,67.0,5.86,5072,dine_in,main,0.0
700093,9,2026-07-08,dinner,1,83.5,7.31,5126,dine_in,bar,0.0
700094,24,2025-10-29,dinner,2,101.5,8.88,5359,dine_in,bar,0.0
700095,6,2025-09-30,dinner,1,34.5,3.02,5076,dine_in,main,1.73
700096,6,2026-07-15,late_night,2,139.0,12.16,5083,delivery,main,25.02
700097,2,2025-10-16,dinner,3,142.0,12.42,5022,kiosk,main,0.0
700098,21,2026-04-11,lunch,1,67.5,5.91,5309,dine_in,main,0.0
700099,23,2026-06-10,late_night,6,257.0,22.49,5341,dine_in,main,0.0
700100,23,2025-11-06,dinner,1,101.0,8.84,5339,dine_in,bar,0.0
700101,3,2025-06-29,lunch,5,236.5,20.69,5045,dine_in,main,0.0
700102,12,2025-10-17,dinner,2,89.5,7.83,5174,dine_in,bar,0.0
700103,24,2025-08-14,dinner,2,89.5,7.83,5351,takeout,patio,0.0
700104,20,2026-03-09,late_night,1,45.0,3.94,5298,delivery,patio,8.1
700105,14,2026-05-22,dinner,2,92.0,8.05,5197,delivery,main,16.56
700106,20,2026-04-10,lunch,5,230.0,20.12,5300,dine_in,patio,0.0
700107,2,2025-11-07,dinner,4,203.0,17.76,5024,catering,main,0.0
700108,22,2026-02-04,dinner,4,223.5,19.56,5319,takeout,main,0.0
700109,11,2026-07-18,dinner,1,43.0,3.76,5164,dine_in,bar,0.0
700110,19,2025-10-20,late_night,2,122.5,10.72,5280,dine_in,main,6.12
700111,5,2025-10-22,late_night,6,382.0,33.42,5063,takeout,bar,0.0
700112,6,2025-11-22,lunch,2,82.0,7.17,5076,dine_in,bar,0.0
700113,16,2025-06-25,dinner,3,134.5,11.77,5239,kiosk,patio,0.0
700114,18,2025-12-01,lunch,3,148.0,12.95,5262,delivery,main,26.64
700115,5,2025-11-11,dinner,2,144.5,12.64,5074,catering,patio,0.0
700116,12,2026-02-17,lunch,2,119.0,10.41,5173,dine_in,main,0.0
700117,19,2025-08-29,dinner,2,108.5,9.49,5284,catering,main,0.0
700118,6,2025-08-12,dinner,1,48.0,4.2,5086,dine_in,bar,0.0
700119,13,2026-02-06,lunch,2,71.0,6.21,5185,kiosk,main,0.0
700120,8,2025-11-08,dinner,2,86.5,7.57,5111,delivery,patio,15.57
700121,23,2026-01-25,dinner,1,80.0,7.0,5337,kiosk,main,0.0
700122,20,2025-09-30,dinner,3,98.0,8.57,5298,dine_in,main,4.9
700123,6,2026-01-22,dinner,2,78.0,6.82,5076,dine_in,main,0.0
700124,24,2026-01-12,lunch,3,108.5,9.49,5351,dine_in,patio,0.0
700125,4,2025-12-23,lunch,5,171.0,14.96,5049,dine_in,main,0.0
700126,20,2025-07-20,dinner,1,45.5,3.98,5290,dine_in,main,0.0
700127,22,2025-07-30,lunch,2,144.5,12.64,5317,takeout,main,0.0
700128,20,2026-07-06,lunch,2,85.5,7.48,5289,dine_in,main,0.0
700129,23,2026-07-02,late_night,3,138.5,12.12,5336,takeout,main,0.0
700130,6,2025-08-18,lunch,4,214.5,18.77,5083,dine_in,main,0.0
700131,13,2025-06-24,dinner,4,190.0,16.62,5190,delivery,main,34.2
700132,12,2025-07-06,lunch,2,97.5,8.53,5176,dine_in,main,4.88
700133,23,2026-02-09,dinner,2,112.5,9.84,5339,kiosk,main,0.0
700134,6,2026-05-17,lunch,4,217.0,18.99,5080,dine_in,main,0.0
700135,8,2026-05-27,lunch,3,144.0,12.6,5109,delivery,main,25.92
700136,12,2025-10-30,dinner,3,178.0,15.57,5166,dine_in,main,0.0
700137,3,2026-02-02,dinner,2,88.5,7.74,5042,takeout,main,0.0
700138,10,2025-09-21,lunch,1,39.5,3.46,5147,delivery,main,7.11
700139,3,2026-07-07,dinner,2,92.5,8.09,5033,delivery,main,16.65
700140,6,2025-08-09,dinner,2,80.5,7.04,5079,dine_in,main,0.0
700141,19,2025-12-27,dinner,2,133.5,11.68,5273,takeout,main,0.0
700142,9,2026-06-05,dinner,2,70.0,6.12,5130,dine_in,main,0.0
700143,17,2026-07-04,dinner,2,99.5,8.71,5248,dine_in,patio,0.0
700144,24,2025-07-04,dinner,5,230.5,20.17,5352,dine_in,bar,0.0
700145,24,2025-08-08,dinner,2,141.0,12.34,5354,delivery,main,25.38
700146,21,2026-05-12,dinner,2,141.0,12.34,5304,dine_in,patio,0.0
700147,14,2025-11-05,dinner,2,88.5,7.74,5199,dine_in,main,4.42
700148,17,2026-01-15,lunch,2,82.5,7.22,5243,dine_in,main,4.12
700149,22,2025-07-08,lunch,2,82.5,7.22,5321,dine_in,main,0.0
700150,8,2025-10-13,lunch,3,181.5,15.88,5110,dine_in,main,0.0
700151,1,2025-12-14,dinner,3,92.5,8.09,5011,takeout,main,0.0
700152,17,2026-03-21,lunch,4,213.0,18.64,5250,dine_in,main,0.0
700153,7,2025-07-01,dinner,4,206.0,18.02,5104,kiosk,patio,0.0
700154,9,2025-09-23,dinner,2,88.5,7.74,5128,dine_in,patio,0.0
700155,14,2025-07-25,dinner,3,232.0,20.3,5208,dine_in,patio,0.0
700156,24,2025-09-17,lunch,2,95.0,8.31,5349,delivery,main,17.1
700157,10,2026-04-06,lunch,5,274.5,24.02,5136,dine_in,main,0.0
700158,24,2026-04-25,lunch,2,141.5,12.38,5350,takeout,main,0.0
700159,14,2026-03-24,lunch,4,163.5,14.31,5197,dine_in,main,0.0
700160,7,2026-05-30,dinner,4,188.5,16.49,5095,dine_in,bar,0.0
700161,18,2026-03-04,dinner,2,99.5,8.71,5256,delivery,patio,17.91
700162,20,2026-04-14,dinner,3,114.5,10.02,5293,takeout,main,0.0
700163,23,2026-01-15,dinner,5,210.0,18.38,5335,delivery,patio,37.8
700164,4,2026-02-25,lunch,6,235.0,20.56,5049,dine_in,main,0.0
700165,4,2025-09-08,lunch,2,67.5,5.91,5054,dine_in,main,0.0
700166,3,2025-12-20,lunch,2,81.0,7.09,5035,dine_in,main,0.0
700167,19,2026-04-03,lunch,2,112.5,9.84,5273,dine_in,main,0.0
700168,20,2026-01-30,lunch,1,44.5,3.89,5300,dine_in,main,0.0
700169,24,2026-07-19,dinner,4,252.0,22.05,5356,takeout,patio,0.0
700170,17,2025-09-14,dinner,3,144.0,12.6,5255,dine_in,main,0.0
700171,9,2025-12-11,dinner,2,105.5,9.23,5128,dine_in,main,0.0
700172,14,2025-09-23,lunch,5,190.5,16.67,5201,delivery,bar,34.29
700173,9,2026-04-25,dinner,3,103.0,9.01,5130,dine_in,main,0.0
700174,5,2025-11-24,dinner,2,142.0,12.42,5067,dine_in,bar,0.0
700175,21,2026-04-04,dinner,1,48.5,4.24,5315,dine_in,bar,0.0
700176,3,2025-12-02,lunch,2,101.5,8.88,5032,dine_in,bar,0.0
700177,13,2026-06-17,lunch,2,87.0,7.61,5194,dine_in,main,0.0
700178,18,2026-02-09,lunch,2,100.5,8.79,5259,dine_in,main,0.0
700179,15,2025-08-03,dinner,3,177.5,15.53,5211,takeout,bar,0.0
700180,13,2026-01-20,lunch,2,108.5,9.49,5188,dine_in,main,0.0
700181,3,2025-06-28,dinner,2,77.0,6.74,5039,dine_in,patio,0.0
700182,2,2026-01-18,dinner,1,36.0,3.15,5017,dine_in,main,0.0
700183,3,2026-02-17,lunch,2,71.5,6.26,5041,dine_in,main,0.0
700184,12,2025-12-31,dinner,6,443.5,38.81,5171,dine_in,main,22.18
700185,20,2026-06-09,dinner,2,78.5,6.87,5299,dine_in,main,0.0
700186,20,2026-05-24,dinner,4,180.5,15.79,5297,takeout,main,0.0
700187,23,2025-12-09,lunch,4,224.5,19.64,5343,dine_in,main,0.0
700188,23,2026-07-06,lunch,3,145.5,12.73,5344,dine_in,main,0.0
700189,4,2025-11-25,dinner,3,181.5,15.88,5057,catering,main,0.0
700190,3,2025-07-25,dinner,1,41.0,3.59,5043,dine_in,main,0.0
700191,11,2025-10-03,dinner,2,71.0,6.21,5151,dine_in,main,0.0
700192,2,2026-01-31,lunch,3,119.5,10.46,5019,dine_in,main,0.0
700193,18,2025-06-24,late_night,4,190.0,16.62,5267,dine_in,main,0.0
700194,9,2026-05-25,dinner,2,84.5,7.39,5126,delivery,main,15.21
700195,24,2026-01-17,dinner,2,58.0,5.07,5351,delivery,patio,10.44
700196,3,2025-09-27,dinner,4,155.5,13.61,5044,dine_in,main,0.0
700197,22,2026-07-07,lunch,4,307.5,26.91,5328,takeout,patio,0.0
700198,2,2025-09-12,dinner,1,42.0,3.67,5016,delivery,main,7.56
700199,5,2025-10-03,dinner,4,119.5,10.46,5071,delivery,patio,21.51
700200,23,2025-08-02,dinner,3,214.0,18.72,5332,dine_in,main,0.0
700201,6,2025-11-03,dinner,2,77.5,6.78,5079,takeout,main,0.0
700202,7,2025-07-03,lunch,2,87.5,7.66,5102,delivery,patio,15.75
700203,12,2025-11-07,late_night,4,254.5,22.27,5166,takeout,main,0.0
700204,12,2026-04-18,dinner,4,203.0,17.76,5179,dine_in,main,0.0
700205,17,2026-07-06,lunch,5,413.5,36.18,5251,takeout,main,0.0
700206,4,2025-08-11,dinner,2,94.5,8.27,5058,dine_in,main,0.0
700207,22,2025-08-23,lunch,2,104.5,9.14,5317,delivery,bar,18.81
700208,2,2025-10-27,dinner,2,62.5,5.47,5018,takeout,main,0.0
700209,6,2025-08-25,lunch,2,57.0,4.99,5079,catering,patio,0.0
700210,6,2026-01-23,dinner,2,113.5,9.93,5080,dine_in,patio,0.0
700211,4,2025-11-02,dinner,5,232.5,20.34,5057,delivery,main,41.85
700212,15,2025-12-23,dinner,4,204.0,17.85,5212,takeout,main,10.2
700213,24,2025-09-04,dinner,4,225.5,19.73,5356,dine_in,main,0.0
700214,1,2026-05-01,dinner,2,111.0,9.71,5008,delivery,main,19.98
700215,10,2025-09-02,dinner,1,43.5,3.81,5150,takeout,main,0.0
700216,23,2025-09-22,lunch,2,91.5,8.01,5334,delivery,main,16.47
700217,21,2026-01-12,dinner,2,94.5,8.27,5309,delivery,main,17.01
700218,11,2026-01-23,dinner,4,178.5,15.62,5160,takeout,main,0.0
700219,20,2025-06-24,lunch,2,79.5,6.96,5299,dine_in,patio,0.0
700220,23,2025-08-01,late_night,2,108.0,9.45,5336,dine_in,main,0.0
700221,24,2026-07-06,dinner,5,324.0,28.35,5354,dine_in,main,0.0
700222,4,2026-07-13,dinner,2,155.5,13.61,5047,delivery,main,27.99
700223,7,2026-05-22,dinner,2,102.0,8.92,5094,delivery,main,18.36
700224,6,2026-04-16,lunch,4,136.5,11.94,5087,takeout,main,0.0
700225,23,2025-06-28,lunch,1,47.5,4.16,5333,delivery,patio,8.55
700226,19,2025-09-16,dinner,4,223.0,19.51,5281,takeout,patio,0.0
700227,16,2025-07-13,lunch,2,104.0,9.1,5240,takeout,main,0.0
700228,2,2026-01-27,dinner,1,55.0,4.81,5022,delivery,main,9.9
700229,23,2025-10-30,lunch,3,190.5,16.67,5336,dine_in,bar,0.0
700230,12,2026-02-13,late_night,4,194.5,17.02,5171,dine_in,main,0.0
700231,8,2025-09-26,lunch,1,39.5,3.46,5108,dine_in,main,0.0
700232,18,2025-06-26,dinner,4,248.0,21.7,5266,dine_in,main,0.0
700233,11,2025-06-28,lunch,1,54.5,4.77,5163,delivery,main,9.81
700234,10,2025-10-06,dinner,2,106.0,9.27,5144,delivery,main,19.08
700235,23,2025-10-17,dinner,2,121.5,10.63,5332,dine_in,bar,0.0
700236,24,2026-03-17,lunch,2,167.5,14.66,5347,delivery,patio,30.15
700237,22,2025-09-25,lunch,3,192.0,16.8,5326,dine_in,main,0.0
700238,9,2026-02-03,dinner,3,221.0,19.34,5135,dine_in,main,0.0
700239,20,2025-06-29,dinner,2,116.0,10.15,5296,delivery,bar,20.88
700240,24,2026-03-10,dinner,2,143.5,12.56,5359,dine_in,bar,0.0
700241,10,2025-07-08,dinner,3,143.0,12.51,5139,takeout,bar,7.15
700242,14,2026-01-25,lunch,2,88.0,7.7,5197,dine_in,main,0.0
700243,16,2025-12-18,lunch,4,263.5,23.06,5235,dine_in,main,0.0
700244,4,2026-03-23,dinner,2,79.5,6.96,5057,takeout,main,0.0
700245,19,2026-06-01,dinner,2,128.5,11.24,5280,kiosk,bar,0.0
700246,24,2026-01-18,lunch,2,111.0,9.71,5346,dine_in,main,0.0
700247,5,2026-04-21,dinner,1,73.0,6.39,5070,dine_in,main,0.0
700248,17,2025-12-24,dinner,4,215.0,18.81,5243,dine_in,main,0.0
700249,17,2025-11-27,dinner,1,63.5,5.56,5243,dine_in,patio,0.0
700250,14,2025-07-06,lunch,6,360.0,31.5,5197,catering,main,0.0
700251,7,2025-12-20,dinner,2,117.0,10.24,5097,delivery,patio,21.06
700252,3,2025-06-17,dinner,3,136.5,11.94,5035,takeout,patio,0.0
700253,15,2025-10-23,lunch,4,164.5,14.39,5214,delivery,patio,29.61
700254,24,2026-03-22,late_night,5,250.5,21.92,5357,dine_in,patio,0.0
700255,22,2025-10-10,dinner,3,195.5,17.11,5325,delivery,main,35.19
700256,14,2025-12-11,lunch,3,194.0,16.97,5208,dine_in,main,0.0
700257,11,2025-08-15,dinner,4,185.5,16.23,5159,kiosk,main,0.0
700258,14,2026-02-17,lunch,2,62.0,5.42,5197,delivery,main,11.16
700259,19,2025-06-27,dinner,2,70.0,6.12,5279,delivery,main,12.6
700260,19,2025-12-12,dinner,2,99.5,8.71,5283,delivery,main,17.91
700261,16,2026-03-28,dinner,2,147.5,12.91,5236,catering,main,0.0
700262,16,2026-03-26,lunch,1,48.0,4.2,5240,dine_in,main,0.0
700263,1,2026-02-09,dinner,2,125.5,10.98,5013,dine_in,main,0.0
700264,23,2026-02-19,lunch,5,245.5,21.48,5332,dine_in,patio,0.0
700265,17,2026-06-18,dinner,1,38.5,3.37,5242,dine_in,bar,0.0
700266,13,2025-09-23,lunch,2,79.5,6.96,5193,dine_in,patio,0.0
700267,21,2025-10-15,dinner,5,283.5,24.81,5315,dine_in,main,0.0
700268,15,2025-09-26,dinner,2,83.0,7.26,5219,dine_in,patio,0.0
700269,19,2026-02-24,dinner,2,84.5,7.39,5285,dine_in,bar,0.0
700270,15,2025-09-27,dinner,2,149.0,13.04,5215,dine_in,main,0.0
700271,5,2026-02-20,lunch,4,129.5,11.33,5075,delivery,main,23.31
700272,5,2026-01-08,dinner,2,58.0,5.07,5066,takeout,patio,0.0
700273,19,2025-07-13,dinner,4,168.0,14.7,5277,catering,main,0.0
700274,6,2026-04-11,lunch,4,247.5,21.66,5080,dine_in,patio,0.0
700275,19,2026-06-16,dinner,4,142.0,12.42,5278,dine_in,patio,0.0
700276,13,2025-07-25,dinner,4,226.5,19.82,5194,catering,bar,0.0
700277,1,2025-11-03,lunch,3,182.0,15.92,5007,dine_in,main,0.0
700278,21,2025-11-26,dinner,2,100.5,8.79,5310,dine_in,main,0.0
700279,2,2025-09-13,dinner,5,306.5,26.82,5024,dine_in,patio,0.0
700280,21,2025-12-14,dinner,1,55.5,4.86,5315,dine_in,main,0.0
700281,24,2026-01-07,dinner,2,113.5,9.93,5358,dine_in,main,0.0
700282,23,2025-09-16,dinner,3,223.5,19.56,5338,dine_in,bar,0.0
700283,13,2025-09-23,lunch,1,71.5,6.26,5181,dine_in,main,0.0
700284,7,2026-06-28,lunch,3,184.0,16.1,5098,takeout,main,0.0
700285,18,2026-02-12,dinner,1,26.5,2.32,5257,dine_in,patio,0.0
700286,22,2025-09-26,dinner,4,287.5,25.16,5317,dine_in,bar,0.0
700287,5,2025-12-05,late_night,1,46.0,4.02,5070,takeout,bar,0.0
700288,22,2025-09-21,lunch,4,187.0,16.36,5322,dine_in,patio,0.0
700289,4,2025-12-05,late_night,1,51.5,4.51,5049,dine_in,main,0.0
700290,18,2025-07-09,dinner,4,245.5,21.48,5265,dine_in,main,0.0
700291,24,2025-10-10,lunch,3,124.5,10.89,5353,dine_in,main,0.0
700292,5,2026-05-08,late_night,1,44.0,3.85,5068,kiosk,main,0.0
700293,4,2026-02-04,dinner,2,124.5,10.89,5055,dine_in,bar,0.0
700294,19,2026-07-11,lunch,2,75.5,6.61,5279,dine_in,main,0.0
700295,2,2026-02-23,dinner,2,89.5,7.83,5028,dine_in,bar,0.0
700296,19,2026-05-11,dinner,4,183.5,16.06,5279,takeout,main,0.0
700297,24,2026-04-30,lunch,1,37.5,3.28,5350,dine_in,main,0.0
700298,13,2025-07-29,dinner,3,183.0,16.01,5187,dine_in,patio,9.15
700299,23,2026-06-26,lunch,2,92.5,8.09,5343,takeout,main,4.62
700300,5,2026-05-20,lunch,2,79.5,6.96,5065,delivery,main,14.31
700301,18,2025-12-05,dinner,1,56.5,4.94,5264,dine_in,main,0.0
700302,11,2025-08-06,dinner,2,99.5,8.71,5159,dine_in,main,0.0
700303,8,2025-07-01,dinner,2,106.5,9.32,5106,dine_in,main,0.0
700304,23,2025-07-09,late_night,5,257.5,22.53,5343,dine_in,main,0.0
700305,23,2026-06-21,dinner,2,65.0,5.69,5331,kiosk,main,0.0
700306,8,2026-03-10,dinner,2,93.0,8.14,5109,dine_in,main,0.0
700307,8,2025-08-18,lunch,2,109.0,9.54,5115,dine_in,main,0.0
700308,9,2026-01-30,lunch,3,128.0,11.2,5133,delivery,bar,23.04
700309,14,2025-12-24,lunch,2,104.0,9.1,5205,dine_in,patio,0.0
700310,13,2026-03-21,lunch,2,67.5,5.91,5182,delivery,patio,12.15
700311,7,2025-09-16,dinner,1,68.5,5.99,5105,kiosk,patio,0.0
700312,12,2026-07-06,dinner,3,139.0,12.16,5180,dine_in,main,0.0
700313,5,2025-07-05,dinner,3,111.5,9.76,5075,dine_in,main,5.58
700314,10,2026-06-04,dinner,2,156.0,13.65,5150,kiosk,bar,0.0
700315,1,2026-04-20,dinner,6,364.5,31.89,5012,delivery,main,65.61
700316,8,2025-07-23,dinner,1,64.5,5.64,5117,dine_in,patio,0.0
700317,14,2026-03-26,late_night,2,73.5,6.43,5205,takeout,main,0.0
700318,3,2026-02-20,dinner,4,165.0,14.44,5037,takeout,bar,0.0
700319,14,2025-07-05,dinner,4,266.5,23.32,5207,dine_in,main,0.0
700320,14,2026-01-27,lunch,1,43.5,3.81,5202,dine_in,patio,0.0
700321,2,2026-03-28,lunch,2,86.0,7.52,5021,dine_in,bar,0.0
700322,5,2025-07-18,lunch,3,179.5,15.71,5071,dine_in,main,0.0
700323,12,2025-10-26,lunch,2,114.5,10.02,5174,dine_in,main,0.0
700324,18,2025-07-19,lunch,2,95.5,8.36,5265,takeout,main,0.0
700325,5,2026-02-08,dinner,2,106.0,9.27,5069,kiosk,main,0.0
700326,10,2026-04-21,late_night,2,94.0,8.22,5150,takeout,patio,4.7
700327,3,2025-10-12,lunch,1,35.0,3.06,5032,dine_in,main,0.0
700328,5,2026-07-01,lunch,2,100.5,8.79,5067,dine_in,main,0.0
700329,20,2026-05-13,dinner,2,138.5,12.12,5290,dine_in,patio,0.0
700330,12,2025-10-31,dinner,2,103.5,9.06,5177,dine_in,bar,0.0
700331,17,2026-06-04,dinner,4,144.0,12.6,5248,dine_in,main,0.0
700332,5,2026-04-23,lunch,1,52.5,4.59,5068,takeout,patio,2.62
700333,21,2025-08-26,late_night,5,287.5,25.16,5306,delivery,patio,51.75
700334,5,2025-07-26,dinner,3,122.0,10.67,5067,dine_in,main,0.0
700335,12,2025-11-07,dinner,4,223.5,19.56,5179,dine_in,bar,0.0
700336,8,2026-05-17,dinner,2,127.5,11.16,5107,delivery,main,22.95
700337,12,2026-05-29,lunch,2,148.5,12.99,5171,dine_in,main,0.0
700338,19,2025-12-03,dinner,2,87.0,7.61,5271,catering,main,0.0
700339,24,2025-11-01,dinner,5,283.0,24.76,5348,dine_in,patio,0.0
700340,21,2026-02-12,lunch,2,101.0,8.84,5307,dine_in,main,0.0
700341,14,2026-04-16,lunch,2,63.5,5.56,5208,delivery,main,11.43
700342,23,2025-10-26,dinner,2,107.5,9.41,5344,dine_in,main,0.0
700343,24,2026-04-18,lunch,2,118.0,10.32,5352,dine_in,main,0.0
700344,7,2025-11-08,lunch,2,94.0,8.22,5093,takeout,main,0.0
700345,5,2026-02-24,dinner,4,212.0,18.55,5068,takeout,main,0.0
700346,6,2025-12-16,lunch,2,127.0,11.11,5078,dine_in,main,0.0
700347,24,2025-11-20,dinner,3,144.5,12.64,5353,dine_in,main,0.0
700348,15,2025-08-01,dinner,2,139.5,12.21,5217,takeout,main,0.0
