Date,Day of Week,Exercise,Weight,Reps,Start Time,RPE,Notes,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Cable Face Pull,10.5,10,9:56 AM,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Cable Face Pull,14,13,9:57 AM,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Cable Face Pull,14,13,9:59 AM,7,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Flat Barbell Bench Press,95,5,8:29 AM,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Flat Barbell Bench Press,115,5,8:32 AM,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Flat Barbell Bench Press,135,3,8:35 AM,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Flat Barbell Bench Press,160,3,8:39 AM,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Flat Barbell Bench Press,180,3,8:42,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Flat Barbell Bench Press,220,1,8:49 AM,8,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Flat Barbell Bench Press,205,3,8:53,7.5,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Flat Barbell Bench Press,195,5,8:57,8,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Pull Up,173,1,9:03 AM,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Pull Up,173,4,9:07 AM,,explosive,,,,,,,,,,,,,,,,
2026-02-13,Friday,Pull Up,173,4,9:10 AM,,explosive,,,,,,,,,,,,,,,,
2026-02-13,Friday,Pull Up,173,3,9:14 AM,,explosive,,,,,,,,,,,,,,,,
2026-02-13,Friday,Pull Up,173,4,9:17 AM,,explosive,,,,,,,,,,,,,,,,
2026-02-13,Friday,Strict Wall EZ-Bar Curl,30,8,9:20 AM,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Strict Wall EZ-Bar Curl,30,14,9:28:00 AM,,controlled,,,,,,,,,,,,,,,,
2026-02-13,Friday,EZ-Bar Preacher Curl,30,12,9:31:00 AM,,controlled,,,,,,,,,,,,,,,,
2026-02-13,Friday,Lat Pulldown,110,8,9:33:00 AM,6,controlled,,,,,,,,,,,,,,,,
2026-02-13,Friday,Lateral Cable Raise (Partials),7.5,10,9:37:00 AM,,controlled,,,,,,,,,,,,,,,,
2026-02-13,Friday,Lateral Cable Raise (Partials),15.5,5,9:39:00 AM,,controlled,,,,,,,,,,,,,,,,
2026-02-13,Friday,Lateral Cable Raise (Partials),10.5,5,9:41:00 AM,,controlled,,,,,,,,,,,,,,,,
2026-02-13,Friday,Chin Up,173,1,6:30 PM,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Chin Up,173,8,6:30 PM,,,,,,,,,,,,,,,,,,
2026-02-13,Friday,Chin Up,173,8,6:54 PM,,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Hanging Leg Raise,172.6,3,9:39 AM,,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Hanging Leg Raise,172.6,8,9:41 AM,8,controlled high reps,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Hanging Leg Raise,172.6,8,9:48 AM,6,controlled high reps,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Hanging Leg Raise,172.6,8,9:51 AM,,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Barbell Deadlift,135,5,8:56 AM,,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Barbell Deadlift,165,5,8:58 AM,,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Barbell Deadlift,195,3,9:01 AM,,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Barbell Deadlift,240,3,9:06 AM,,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Barbell Deadlift,275,3,9:10 AM,4,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Barbell Deadlift,335,1,9:15 AM,8.5,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Barbell Deadlift,295,3,9:30 AM,7,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Barbell Deadlift,295,3,9:34 AM,8,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Pull Up,172.6,1,9:51 AM,,,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Pull Up,172.6,5,9:53 AM,7,controlled,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Pull Up,172.6,5,9:56 AM,7,controlled,,,,,,,,,,,,,,,,
2026-02-11,Wednesday,Pull Up,172.6,5,9:53 AM,7,controlled,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Muscle Up Green Band,,1,11:43,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Muscle Up Lightest Band,,0,11:47,,failed,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Muscle Up Lightest Band,,1,11:49,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Muscle Up Lightest Band,,2,11:50,,kip,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Muscle Up Green Band,,3,11:54,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Muscle Up Green Band,,3,11:57,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Parallel Bar Triceps Dip,171.6,1,11:55,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Parallel Bar Triceps Dip,171.6,5,11:57 AM,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Parallel Bar Triceps Dip,171.6,32,12:03 PM,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Parallel Bar Triceps Dip,171.6,10,12:09 PM,,tempo,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Seated Cable Row,70,5,12:05,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Seated Cable Row,90,5,12:05 PM,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Seated Cable Row,115,10,12:08 PM,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Seated Cable Row,115,7,12:10 PM,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Seated Cable Row,115,7,12:13 PM,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Chin Up,173,1,10:29 PM,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Chin Up,173,8,10:30 PM,,,,,,,,,,,,,,,,,,
2026-02-10,Tuesday,Chin Up,173,8,10:35 PM,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Overhead Press,45,5,8:30:00,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Overhead Press,65,5,8:31:00,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Overhead Press,95,3,8:33,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Overhead Press,105,3,8:36,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Overhead Press,115,3,8:39,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Overhead Press,130,1,8:44,7.5,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Overhead Press,120,6,8:50,8.5,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Overhead Press,95,5,9:29,,tempo,,,,,,,,,,,,,,,,
2026-02-09,Monday,Barbell Squat,135,5,8:54 AM,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Barbell Squat,160,5,8:58 AM,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Barbell Squat,195,3,9:04,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Barbell Squat,210,5,9:08 AM,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Barbell Squat,240,3,9:12,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Barbell Squat,295,1,9:18 AM,7.5,"belted, recovering from sickness",,,,,,,,,,,,,,,,
2026-02-09,Monday,Barbell Squat,265,5,9:24 AM,8,belted,,,,,,,,,,,,,,,,
2026-02-09,Monday,Lateral Cable Raise (Partials),7.5,10,9:31,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Lateral Cable Raise (Partials),10.5,12,9:33 AM,9,AIM FOR 8,,,,,,,,,,,,,,,,
2026-02-09,Monday,Lateral Cable Raise (Partials),10.5,10,9:37 AM,9,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Lateral Cable Raise (Partials),9,10,9:39 AM,8,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Cable External Rotation,4,10,9:35 AM,7,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Cable External Rotation,4,10,9:38 AM,8,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Cable Face Pull,10.5,10,9:41 AM,,,,,,,,,,,,,,,,,,
2026-02-09,Monday,Cable Face Pull,24,12,9:43 AM,,felt like I was leaning back too much ,,,,,,,,,,,,,,,,
2026-02-09,Monday,Cable Face Pull,14,17,9:45 AM,7,,,,,,,,,,,,,,,,,
2026-02-07,Saturday,Pull Up,174.2,1,6:10 PM,,explosive,,,,,,,,,,,,,,,,
2026-02-07,Saturday,Pull Up,176.2,3,6:13 PM,,explosive,,,,,,,,,,,,,,,,
2026-02-07,Saturday,Pull Up,176.2,4,6:19 PM,,explosive,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Hanging Leg Raise,174.8,3,8:53 AM,,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Hanging Leg Raise,174.8,12,8:55 AM,,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Hanging Leg Raise,174.8,12,8:59 AM,,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Hanging Leg Raise,174.8,12,9:03 AM,,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Barbell Deadlift,135,5,9:06 AM,,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Barbell Deadlift,165,5,9:08 AM,,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Barbell Deadlift,195,3,9:11 AM,,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Barbell Deadlift,225,3,9:13 AM,,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Barbell Deadlift,225,5,9:17 AM,4,,,,,,,,,,,,,,,,,
2026-02-05,Thursday,Barbell Deadlift,225,3,9:20 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Muscle Up Green Band,,1,8:50,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Muscle Up Lightest Band,,1,8:58,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Muscle Up Lightest Band,,2,9:02,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Muscle Up Purple Band,,1,9:05,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Muscle Up Green Band,,4,9:08,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Parallel Bar Triceps Dip,176.8,1,9:15,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Parallel Bar Triceps Dip,176.8,3,9:18 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Parallel Bar Triceps Dip,221.8,10,9:20 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Parallel Bar Triceps Dip,221.8,10,9:24 AM,,tempo,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Seated Cable Row,70,5,9:27,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Seated Cable Row,90,5,9:28 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Seated Cable Row,115,9,9:33 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Seated Cable Row,115,7,9:35 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Seated Cable Row,115,7,9:38 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Lat Pulldown,70,5,9:11 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Lat Pulldown,90,5,9:12 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Lat Pulldown,120,8,9:13 AM,8,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Lat Pulldown,120,7,9:16 AM,8,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Dumbbell Hammer Curl,10,5,9:39 AM,,,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Dumbbell Hammer Curl,10,10,9:40 AM,,tempo,,,,,,,,,,,,,,,,
2026-02-03,Tuesday,Dumbbell Hammer Curl,10,10,9:42 AM,,tempo,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,45,5,9:02:00,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,65,5,9:03:00,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,95,3,9:04,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,105,3,9:07,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,115,3,9:10,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,130,1,9:14,8,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,120,6,9:18,8,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,95,5,9:20,,tempo,,,,,,,,,,,,,,,,
2026-02-02,Monday,Overhead Press,95,5,9:23,,3-point pause,,,,,,,,,,,,,,,,
2026-02-02,Monday,Barbell Squat,135,5,9:29 AM,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Barbell Squat,160,5,9:31 AM,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Barbell Squat,195,3,9:34,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Barbell Squat,210,5,9:39 AM,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Barbell Squat,240,3,9:44,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Barbell Squat,295,1,9:53 AM,7,belted,,,,,,,,,,,,,,,,
2026-02-02,Monday,Barbell Squat,265,5,9:58 AM,7,belted,,,,,,,,,,,,,,,,
2026-02-02,Monday,Lateral Cable Raise (Partials),7.5,10,,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Lateral Cable Raise (Partials),15.5,8,,9,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Lateral Cable Raise (Partials),10.5,12,,9,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Lateral Cable Raise (Partials),7.5,11,,8,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Cable External Rotation,4,10,,7,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Cable External Rotation,4,10,,8,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Cable External Rotation,4,10,,9,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Cable Face Pull,10.5,10,,,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Cable Face Pull,14,12,,7,,,,,,,,,,,,,,,,,
2026-02-02,Monday,Cable Face Pull,14,17,,7,,,,,,,,,,,,,,,,,
2026-01-31,Saturday,Pull Up,176.2,1,6:14 PM,,explosive,,,,,,,,,,,,,,,,
2026-01-31,Saturday,Pull Up,176.2,3,6:16 PM,,explosive,,,,,,,,,,,,,,,,
2026-01-31,Saturday,Pull Up,176.2,3,6:21 PM,,explosive,,,,,,,,,,,,,,,,
2026-01-31,Saturday,Pull Up,176.2,3,18:22:00,,explosive,,,,,,,,,,,,,,,,
2026-01-31,Saturday,Pull Up,176.2,3,6:27 PM,,explosive,,,,,,,,,,,,,,,,
2026-01-31,Saturday,Pull Up,176.2,3,6:30 PM,,explosive,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,95,5,8:37 AM,,,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,115,5,8:38 AM,,,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,135,3,8:39 AM,,,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,150,5,8:41 AM,,,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,170,5,8:45,,,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,195,11,8:53 AM,8.5,,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,150,5,8:59,,velocity,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,150,5,9:03,,tempo,,,,,,,,,,,,,,,,
2026-01-30,Friday,Flat Barbell Bench Press,150,5,9:10 AM,,3 point,,,,,,,,,,,,,,,,
2026-01-30,Friday,Pull Up,177.4,1,9:00 AM,,,,,,,,,,,,,,,,,,
2026-01-30,Friday,Pull Up,177.4,3,9:04 AM,,,,,,,,,,,,,,,,,,
2026-01-30,Friday,Pull Up,177.4,14,9:15 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,135,5,8:38 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,160,5,8:40 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,195,3,8:43 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,215,5,8:47 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,245,3,8:50 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,275,2,8:56 AM,,unbelted,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,285,3,9:03 AM,7.5,unbelted,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,235,5,9:09 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Barbell Deadlift,235,5,9:14 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Hanging Leg Raise,176.6,3,9:15 AM,,,,,,,,,,,,,,,,,,
2026-01-28,Wednesday,Hanging Leg Raise,176.6,36,9:19 AM,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Seated Cable Row,70,5,8:41,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Seated Cable Row,90,5,8:43 AM,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Seated Cable Row,100,5,8:43 AM,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Seated Cable Row,115,11,8:46 AM,,push negatives,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Seated Cable Row,115,5,8:48 AM,,push negatives,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Seated Cable Row,90,8,8:51,,tempo,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Seated Cable Row,90,7,8:54 AM,,3-point pause,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Muscle Up Green Band,,1,9:00 AM,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Muscle Up Green Band,,7,9:02 AM,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Muscle Up Green Band,,3,9:02 AM,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Dumbbell Hammer Curl,10,10,8:56 AM,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Dumbbell Preacher Curl,5,10,9:12 AM,,tempo,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Dumbbell Preacher Curl,5,10,9:15 AM,,tempo,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Cable Face Pull,10.5,10,9:20 AM,,,,,,,,,,,,,,,,,,
2026-01-27,Tuesday,Cable Face Pull,15.5,17,9:22 AM,,,,,,,,,,,,,,,,,,
2026-01-26,Monday,Barbell Squat,135,5,8:31 AM,,,2026-01-26,Monday,Barbell Squat,135,5,8:31 AM,,,2026-01-26,Monday,Barbell Squat,135,5,8:31 AM,,
2026-01-26,Monday,Barbell Squat,160,5,8:36 AM,,,2026-01-26,Monday,Barbell Squat,160,5,8:36 AM,,,2026-01-26,Monday,Barbell Squat,160,5,8:36 AM,,
2026-01-26,Monday,Barbell Squat,195,3,8:37,,,2026-01-26,Monday,Barbell Squat,195,3,8:37,,,2026-01-26,Monday,Barbell Squat,195,3,8:37,,
2026-01-26,Monday,Barbell Squat,210,5,8:39 AM,,,2026-01-26,Monday,Barbell Squat,210,5,8:39 AM,,,2026-01-26,Monday,Barbell Squat,210,5,8:39 AM,,
2026-01-26,Monday,Barbell Squat,240,3,8:44,,,2026-01-26,Monday,Barbell Squat,240,3,8:44,,,2026-01-26,Monday,Barbell Squat,240,3,8:44,,
2026-01-26,Monday,Barbell Squat,265,5,8:50 AM,,,2026-01-26,Monday,Barbell Squat,265,5,8:50 AM,,,2026-01-26,Monday,Barbell Squat,265,5,8:50 AM,,
2026-01-26,Monday,Barbell Squat,225,5,8:57 AM,,,2026-01-26,Monday,Barbell Squat,225,5,8:57 AM,,,2026-01-26,Monday,Barbell Squat,225,5,8:57 AM,,
2026-01-26,Monday,Barbell Squat,225,5,9:01 AM,,,2026-01-26,Monday,Barbell Squat,225,5,9:01 AM,,,2026-01-26,Monday,Barbell Squat,225,5,9:01 AM,,
2026-01-26,Monday,Parallel Bar Triceps Dip,177.4,1,15:46,,,2026-01-26,Monday,Parallel Bar Triceps Dip,177.4,1,15:46,,,2026-01-26,Monday,Parallel Bar Triceps Dip,177.4,1,15:46,,
2026-01-26,Monday,Parallel Bar Triceps Dip,177.4,3,3:47 PM,,,2026-01-26,Monday,Parallel Bar Triceps Dip,177.4,3,3:47 PM,,,2026-01-26,Monday,Parallel Bar Triceps Dip,177.4,3,3:47 PM,,
